Lease_Name,Top_Depth,Core,Box,Inch,Depth_calculated,XRF_adjusted_depth,Na,Mg,Al,Si,P,S,K,Ca,Ti,Mn,Fe,Ba,V,Cr,Co,Ni,Cu,Zn,Ga,As,Pb,Se,Th,Rb,U,Sr,Y,Zr,Nb,Mo,Formation
core-01,4008,C04,B07,35,4010.92,,0.38,0.62,1.34,9.51,0.3,1.33,0.18,24.36,0.08,165.46,1.08,111,807.8,54.23,6.43,124.61,77.87,161.24,8.62,42.85,26.37,6,2.72,9.37,23.87,1069.34,7.78,36.84,7.97,99.17,Eagle Ford
core-01,4008,C04,B07,37,4011.08,,0.52,0.33,1.05,12.48,0.21,1.14,0.14,19.93,0.05,176.41,0.89,111,746.14,66.91,3.38,163.66,62.21,166.19,7.81,26.5,18.9,6,2.9,11.89,27.56,1046.32,6.66,14.5,6.62,145.54,Eagle Ford
core-01,4008,C04,B07,39,4011.25,,0.49,0.54,1.5,11.34,0.29,1.49,0.21,20.43,0.07,132.94,1.25,241.49,985.72,59.21,4.7,214.06,86.96,265.31,10.19,32.05,25,6,3,9.2,32.36,985.09,6.42,33.95,7.37,190.98,Eagle Ford
core-01,4008,C04,B07,41,4011.42,,0.53,0.29,1.93,8.35,0.38,1.59,0.2,19.19,0.14,118.01,1.65,722.53,1046.9,44,5.06,158.39,95.55,584.25,13.59,43.92,30.07,6,2.78,6.12,30.98,979.4,16.49,47.1,7.12,151.26,Eagle Ford
core-01,4008,C04,B07,43,4011.58,,0.46,0.43,0.58,5.46,0.05,0.5,0.1,29.22,0.03,219.32,0.7,111,215.44,40,5.44,38.73,27.48,50.17,3.89,14.11,11.29,6,2,5,16.44,933.96,6.3,8.38,4.5,20.64,Eagle Ford
core-01,4008,C04,B07,45,4011.75,,0.39,0.5,0.32,3.95,0.08,0.44,0.09,34.48,0.02,212.23,0.75,111,118.91,40,6.1,29.52,30.2,43.89,5.36,13.52,11.81,6,2.07,5.76,14.02,1032.98,7.47,5,2.4,14.76,Eagle Ford
core-01,4008,C04,B07,47,4011.92,,0.5,0.18,0.67,5.3,0.1,0.51,0.1,28.49,0.03,216.19,0.72,111,198.66,40,6.15,26.8,27,38.82,6.43,11.13,11.19,6,2,5,15.17,1154.43,3.8,5,3.05,11.9,Eagle Ford
core-01,4008,C04,B07,49,4012.08,,0.37,0.48,0.11,4.39,0.04,0.4,0.07,33.62,0.01,173.6,0.68,111,101.94,40,7.54,33.14,31.91,36.74,4.87,13.04,11.69,6,2,5,17.6,1391.21,3.91,5,4.71,6.91,Eagle Ford
core-01,4008,C04,B07,51,4012.25,,0.51,0.16,0.14,3.17,0.003,0.33,0.07,31.47,0.01,177.87,0.73,111,62.3,40,6.63,19.37,25.21,30.14,4.02,13.34,10.9,6,2,5,12.39,1009.42,2.27,5,3.02,10.5,Eagle Ford
core-01,4008,C04,B07,53,4012.42,,0.44,0.2,0.2,4.06,0.003,0.39,0.07,32.83,0.01,192.27,0.68,111,72.23,40,7.49,25.14,24.13,31.35,5.5,12.08,11.14,6,2,9.43,10,919.29,6.63,5,3.67,9.05,Eagle Ford
core-01,4008,C04,B07,55,4012.58,,0.48,0.05,0.63,2.84,0.02,0.31,0.08,32.07,0.02,188.86,0.74,111,56.11,40,7.54,14.38,22.08,26.96,4.25,11,10.26,6,2,5,13.62,670.92,6.02,27.3,4.87,8.06,Eagle Ford
core-01,4008,C04,B07,57,4012.75,,0.46,0.5,1.88,4.05,0.08,0.6,0.09,29.17,0.03,209.78,0.86,111,57.53,40,5.62,8.33,23.34,31.42,7.37,20.55,14.84,6,2,10.14,10,536.28,13.12,61.84,6.3,6.91,Eagle Ford
core-01,4008,C04,B07,59,4012.92,,0.46,0.59,2.15,4.17,0.01,0.54,0.09,30.47,0.04,187.33,0.85,111,30,40,5.27,10.93,20.58,35.99,6.92,22.35,17.73,6,2,5.9,10,618.26,10.4,76.05,5.79,6.27,Eagle Ford
core-01,4008,C04,B07,61,4013.08,,0.5,0.04,0.65,4.26,0.04,0.32,0.1,30.38,0.01,206.35,0.68,111,71.81,40,6.63,16.99,28.22,38.71,4.58,14.31,12.25,6,2,5,21.29,957.89,0.71,21.91,4.82,9.92,Eagle Ford
core-01,4008,C04,B07,63,4013.25,,0.51,0.28,1.67,6.98,0.14,0.74,0.11,25.09,0.06,176.61,0.93,111,388.9,57.46,5.42,181.21,87.04,246.82,12.63,44.67,21.77,6,3.05,10.74,28.63,1044.84,12.34,62.85,10.88,141.92,Eagle Ford
core-01,4008,C04,B07,65,4013.42,,0.49,0.44,2.24,15.05,0.38,1.46,0.23,15.89,0.09,180.98,1.18,526.91,1122.37,73.67,5.37,232.38,92.56,258.68,10.25,36.96,20.77,6,3.14,18.12,21.92,770.71,11.37,53.52,8.33,193.84,Eagle Ford
core-01,4008,C04,B07,67,4013.58,,0.45,0.84,1.98,12.06,0.28,1.68,0.26,20.35,0.08,139.68,1.29,123.51,1193.05,57.53,4.46,248.83,103.14,233.15,10.23,37.85,24.35,6,3.45,10.59,40.35,921.96,15.05,44.26,10.26,203.24,Eagle Ford
core-01,4008,C04,B07,69,4013.75,,0.54,0.48,1.13,8,0.45,1.07,0.2,23.01,0.06,151.53,0.98,111,820.45,53.56,6.13,150.12,56.22,134.23,8.14,23.65,16.68,6,2.69,10.02,24.63,1046.35,8.22,18.51,5.17,123.8,Eagle Ford
core-01,4008,C04,B07,71,4013.92,,0.45,0.05,0.35,3.86,0.003,0.33,0.08,32.18,0.01,179.29,0.68,111,160.64,40,6.93,25.69,29.25,29.64,4.4,13.63,11.33,6,2,5,17.39,1233.86,5.63,5,3.01,10.57,Eagle Ford
core-01,4008,C04,B07,73,4014.08,,0.44,0.6,0.25,4.49,0.04,0.31,0.08,32.88,0.01,196.63,0.67,111,116.18,40,8.17,26.84,29.62,40.74,5.26,11.8,10.18,6,2,6.45,10,1282.67,5.05,5,3.89,6,Eagle Ford
