Lease_Name,Top_Depth,Core,Box,Inch,Depth_calculated,TOC,TON
Public,3958,C04,B02,109,3967.08,6.53,0.22
Public,4028,C04,B09,37,4031.08,6.49,0.22
Public,4008,C04,B07,109,4017.08,6.44,0.28
Public,4028,C04,B09,13,4029.08,6.38,0.19
Public,3948,C04,B01,109,3957.08,6.22,0.22
Public,3958,C04,B02,13,3959.08,6.22,0.2
Public,3928,C03,B14,61,3933.08,5.72,0.2
Public,3958,C04,B02,37,3961.08,5.65,0.23
Public,3928,C03,B14,109,3937.08,5.5,0.18
Public,4018,C04,B08,61,4023.08,5.47,0.17
Public,3958,C04,B02,61,3963.08,5.38,0.17
Public,3968,C04,B03,61,3973.08,5.3,0.18
Public,3888,C03,B10,85,3895.08,5.19,0.22
Public,3998,C04,B06,85,4005.08,4.93,0.17
Public,3898,C03,B11,13,3899.08,4.89,0.2
Public,4008,C04,B07,37,4011.08,4.85,0.15
Public,3998,C04,B06,109,4007.08,4.64,0.16
Public,3958,C04,B02,83,3964.92,4.59,0.27
Public,4018,C04,B08,37,4021.08,4.56,0.15
Public,3928,C03,B14,37,3931.08,4.47,0.18
Public,3918,C03,B13,61,3923.08,4.46,0.15
Public,3938,C03,B15,61,3943.08,4.46,0.15
Public,3918,C03,B13,13,3919.08,4.44,0.16
Public,3918,C03,B13,109,3927.08,4.43,0.16
Public,3908,C03,B12,37,3911.08,4.42,0.16
Public,3908,C03,B12,13,3909.08,4.38,0.17
Public,3988,C04,B05,37,3991.08,4.37,0.13
Public,3938,C03,B15,37,3941.08,4.34,0.22
Public,3978,C04,B04,37,3981.08,4.16,0.13
Public,3918,C03,B13,85,3925.08,4.14,0.14
Public,3978,C04,B04,85,3985.08,4.12,0.16
Public,3968,C04,B03,109,3977.08,4.04,0.18
Public,3888,C03,B10,109,3897.08,4.01,0.14
Public,3938,C03,B15,13,3939.08,3.94,0.13
Public,3998,C04,B06,13,3999.08,3.9,0.13
Public,3908,C03,B12,61,3913.08,3.79,0.18
Public,3978,C04,B04,109,3987.08,3.79,0.12
Public,3858,C03,B07,61,3863.08,3.78,0.19
Public,3878,C03,B09,109,3887.08,3.74,0.15
Public,3928,C03,B14,13,3929.08,3.71,0.14
Public,3878,C03,B09,61,3883.08,3.68,0.19
Public,3848,C03,B06,13,3849.08,3.66,0.16
Public,3868,C03,B08,85,3875.08,3.61,0.18
Public,3898,C03,B11,37,3901.08,3.61,0.13
Public,3908,C03,B12,109,3917.08,3.6,0.13
Public,3858,C03,B07,37,3861.08,3.59,0.18
Public,3788,C02,B15,109,3797.08,3.57,0.17
Public,3868,C03,B08,61,3873.08,3.53,0.18
Public,3878,C03,B09,85,3885.08,3.49,0.14
Public,3888,C03,B10,37,3891.08,3.49,0.15
Public,3998,C04,B06,61,4003.08,3.49,0.12
Public,3818,C03,B03,85,3825.08,3.45,0.16
Public,3868,C03,B08,109,3877.08,3.45,0.2
Public,3878,C03,B09,37,3881.08,3.4,0.16
Public,3788,C02,B15,37,3791.08,3.35,0.15
Public,3858,C03,B07,13,3859.08,3.3,0.14
Public,3868,C03,B08,13,3869.08,3.3,0.16
Public,3888,C03,B10,61,3893.08,3.26,0.11
Public,3878,C03,B09,13,3879.08,3.25,0.18
Public,3978,C04,B04,13,3979.08,3.24,0.11
Public,3868,C03,B08,37,3871.08,3.18,0.17
Public,3888,C03,B10,13,3889.08,3.18,0.16
Public,3768,C02,B13,109,3777.08,3.14,0.15
Public,3898,C03,B11,85,3905.08,3.13,0.12
Public,3848,C03,B06,61,3853.08,3.11,0.14
Public,3708,C02,B07,109,3717.08,3.05,0.25
Public,4008,C04,B07,13,4009.08,3.01,0.08
Public,3718,C02,B08,61,3723.08,3,0.14
Public,3718,C02,B08,109,3727.08,2.98,0.14
Public,3858,C03,B07,85,3865.08,2.93,0.24
Public,3848,C03,B06,37,3851.08,2.92,0.14
Public,3818,C03,B03,61,3823.08,2.87,0.14
Public,3898,C03,B11,61,3903.08,2.87,0.11
Public,3858,C03,B07,109,3867.08,2.8,0.12
Public,3688,C02,B05,61,3693.08,2.68,0.12
Public,3688,C02,B05,85,3695.08,2.68,0.13
Public,3778,C02,B14,109,3787.08,2.63,0.09
Public,3748,C02,B11,89,3755.42,2.54,0.15
Public,3728,C02,B09,37,3731.08,2.5,0.1
Public,3708,C02,B07,13,3709.08,2.48,0.14
Public,3808,C03,B02,109,3817.08,2.47,0.06
Public,3808,C03,B02,85,3815.08,2.46,0.09
Public,3848,C03,B06,109,3857.08,2.45,0.12
Public,3818,C03,B03,109,3827.08,2.36,0.07
Public,3698,C02,B06,37,3701.08,2.34,0.08
Public,3678,C02,B04,109,3687.08,2.33,0.1
Public,3798,C03,B01,61,3803.08,2.33,0.12
Public,3768,C02,B13,85,3775.08,2.32,0.11
Public,3828,C03,B04,13,3829.08,2.28,0.13
Public,3828,C03,B04,37,3831.08,2.27,0.08
Public,3798,C03,B01,109,3807.08,2.23,0.1
Public,3708,C02,B07,61,3713.08,2.17,0.08
Public,3818,C03,B03,13,3819.08,2.16,0.07
Public,3838,C03,B05,37,3841.08,2.15,0.13
Public,3798,C03,B01,13,3799.08,2.12,0.13
Public,3938,C03,B15,85,3945.08,2.11,0.07
Public,3798,C03,B01,85,3805.08,2.1,0.13
Public,3708,C02,B07,85,3715.08,2.07,0.11
Public,3788,C02,B15,13,3789.08,2.05,0.1
Public,3748,C02,B11,13,3749.08,2.01,0.13
Public,3728,C02,B09,61,3733.08,1.99,0.1
Public,3788,C02,B15,61,3793.08,1.98,0.09
Public,3778,C02,B14,37,3781.08,1.94,0.12
Public,3678,C02,B04,37,3681.08,1.93,0.08
Public,3738,C02,B10,109,3747.08,1.91,0.23
Public,3848,C03,B06,85,3855.08,1.88,0.19
Public,4008,C04,B07,85,4015.08,1.87,0.08
Public,3818,C03,B03,37,3821.08,1.82,0.05
Public,3778,C02,B14,61,3783.08,1.78,0.13
Public,3798,C03,B01,37,3801.08,1.73,0.1
Public,3698,C02,B06,61,3703.08,1.7,0.08
Public,3918,C03,B13,37,3921.08,1.7,0.27
Public,3828,C03,B04,61,3833.08,1.69,0.05
Public,3758,C02,B12,13,3759.08,1.68,0.06
Public,3688,C02,B05,109,3697.08,1.67,0.06
Public,3768,C02,B13,37,3771.08,1.67,0.05
Public,3808,C03,B02,37,3811.08,1.67,0.08
Public,3678,C02,B04,61,3683.08,1.62,0.06
Public,3758,C02,B12,109,3767.08,1.62,0.08
Public,3838,C03,B05,109,3847.08,1.62,0.11
Public,3838,C03,B05,85,3845.08,1.59,0.22
Public,3758,C02,B12,85,3765.08,1.58,0.1
Public,3738,C02,B10,61,3743.08,1.56,0.1
Public,3758,C02,B12,37,3761.08,1.55,0.09
Public,3768,C02,B13,61,3773.08,1.55,0.07
Public,3758,C02,B12,61,3763.08,1.54,0.1
Public,3898,C03,B11,109,3907.08,1.52,0.17
Public,3988,C04,B05,85,3995.08,1.46,0.05
Public,3678,C02,B04,85,3685.08,1.44,0.05
Public,3698,C02,B06,85,3705.08,1.43,0.06
Public,3788,C02,B15,85,3795.08,1.4,0.07
Public,3998,C04,B06,37,4001.08,1.36,0.05
Public,3778,C02,B14,85,3785.08,1.35,0.09
Public,3988,C04,B05,13,3989.08,1.35,0.03
Public,3698,C02,B06,13,3699.08,1.34,0.08
Public,3808,C03,B02,13,3809.08,1.33,0.06
Public,3718,C02,B08,37,3721.08,1.32,0.05
Public,3978,C04,B04,61,3983.08,1.29,0.04
Public,3968,C04,B03,85,3975.08,1.28,0.04
Public,3698,C02,B06,109,3707.08,1.27,0.04
Public,3728,C02,B09,13,3729.08,1.24,0.06
Public,3688,C02,B05,13,3689.08,1.22,0.06
Public,3988,C04,B05,61,3993.08,1.22,0.03
Public,3738,C02,B10,37,3741.08,1.18,0.08
Public,4018,C04,B08,85,4025.08,1.16,0.03
Public,3738,C02,B10,13,3739.08,1.14,0.06
Public,3728,C02,B09,85,3735.08,1.11,0.04
Public,3828,C03,B04,85,3835.08,1.07,0.03
Public,3778,C02,B14,13,3779.08,1.06,0.04
Public,4018,C04,B08,109,4027.08,0.97,0.03
Public,3948,C04,B01,13,3949.08,0.92,0.04
Public,3938,C03,B15,109,3947.08,0.87,0.03
Public,3748,C02,B11,61,3753.08,0.81,0.03
Public,3748,C02,B11,109,3757.08,0.81,0.03
Public,4008,C04,B07,61,4013.08,0.81,0.08
Public,3928,C03,B14,85,3935.08,0.79,0.04
Public,3988,C04,B05,109,3997.08,0.78,0.03
Public,3828,C03,B04,109,3837.08,0.73,0.44
Public,3808,C03,B02,61,3813.08,0.7,0.03
Public,3748,C02,B11,37,3751.08,0.69,0.03
Public,3688,C02,B05,37,3691.08,0.68,0.03
Public,3738,C02,B10,89,3745.42,0.61,0.03
Public,3838,C03,B05,13,3839.08,0.59,0.17
Public,3718,C02,B08,85,3725.08,0.58,0.03
Public,3968,C04,B03,13,3969.08,0.55,0.36
Public,3708,C02,B07,37,3711.08,0.53,0.03
Public,3718,C02,B08,13,3719.08,0.43,0.02
Public,3728,C02,B09,109,3737.08,0.39,0.02
Public,3908,C03,B12,85,3915.08,0.32,0.54
Public,3768,C02,B13,13,3769.08,0.29,0.23
Public,3838,C03,B05,61,3843.08,0.26,0.04
Public,4018,C04,B08,13,4019.08,0.13,0.03
