Lease_Name,Top_Depth,Core,Box,Inch,Depth_calculated,Average_UCS_MPa
Public,4078,C04,B14,39,4081.25,701.33
Public,3828,C03,B04,87,3835.25,698
Public,3828,C03,B04,65,3833.42,696.33
Public,3658,C02,B02,73,3664.08,693
Public,4088,C04,B15,29,4090.42,692.33
Public,3648,C02,B01,103,3656.58,691
Public,3838,C03,B05,31,3840.58,691
Public,4088,C04,B15,3,4088.25,691
Public,4088,C04,B15,7,4088.58,690
Public,4088,C04,B15,97,4096.08,690
Public,3978,C04,B04,101,3986.42,688
Public,4088,C04,B15,55,4092.58,685.33
Public,4088,C04,B15,1,4088.08,685
Public,4058,C04,B12,63,4063.25,684.67
Public,4088,C04,B15,81,4094.75,684.33
Public,3598,C01,B11,49,3602.08,684
Public,4048,C04,B11,33,4050.75,683.67
Public,4018,C04,B08,75,4024.25,683.33
Public,4088,C04,B15,43,4091.58,683.33
Public,4078,C04,B14,115,4087.58,682.67
Public,4088,C04,B15,37,4091.08,682.67
Public,4068,C04,B13,69,4073.75,681.33
Public,4088,C04,B15,103,4096.58,681.33
Public,3738,C02,B10,67,3743.58,681
Public,4068,C04,B13,59,4072.92,681
Public,4038,C04,B10,75,4044.25,680.67
Public,4088,C04,B15,53,4092.42,680.67
Public,3618,C01,B13,21,3619.75,680
Public,3618,C01,B13,35,3620.92,680
Public,3838,C03,B05,65,3843.42,680
Public,4088,C04,B15,15,4089.25,679.67
Public,3838,C03,B05,29,3840.42,679.33
Public,4088,C04,B15,35,4090.92,679
Public,4088,C04,B15,69,4093.75,678.33
Public,4038,C04,B10,89,4045.42,678
Public,4078,C04,B14,79,4084.58,678
Public,3838,C03,B05,67,3843.58,677.67
Public,4018,C04,B08,117,4027.75,677.33
Public,3598,C01,B11,79,3604.58,677
Public,4078,C04,B14,119,4087.92,677
Public,4048,C04,B11,51,4052.25,676.67
Public,4058,C04,B12,87,4065.25,676.33
Public,3618,C01,B13,93,3625.75,676
Public,4038,C04,B10,115,4047.58,676
Public,4048,C04,B11,73,4054.08,675.67
Public,4048,C04,B11,39,4051.25,675.33
Public,4088,C04,B15,27,4090.25,675.33
Public,3508,C01,B02,17,3509.42,675
Public,4048,C04,B11,65,4053.42,674.67
Public,3658,C02,B02,17,3659.42,674
Public,4038,C04,B10,117,4047.75,674
Public,4068,C04,B13,71,4073.92,674
Public,4088,C04,B15,89,4095.42,673.33
Public,4088,C04,B15,105,4096.75,673.33
Public,3728,C02,B09,95,3735.92,673
Public,4068,C04,B13,97,4076.08,673
Public,4048,C04,B11,25,4050.08,672.67
Public,4088,C04,B15,11,4088.92,672.67
Public,4058,C04,B12,105,4066.75,672.33
Public,4088,C04,B15,25,4090.08,672.33
Public,4078,C04,B14,97,4086.08,672
Public,4088,C04,B15,83,4094.92,671.33
Public,3498,C01,B01,53,3502.42,671
Public,3658,C02,B02,89,3665.42,671
Public,3828,C03,B04,103,3836.58,670.67
Public,4038,C04,B10,5,4038.42,670.67
Public,4088,C04,B15,21,4089.75,670.67
Public,4088,C04,B15,109,4097.08,670.67
Public,3928,C03,B14,15,3929.25,670.33
Public,4068,C04,B13,1,4068.08,670.33
Public,4068,C04,B13,113,4077.42,670.33
Public,4088,C04,B15,59,4092.92,670.33
Public,4088,C04,B15,61,4093.08,670.33
Public,3638,C01,B15,117,3647.75,670
Public,3828,C03,B04,63,3833.25,670
Public,4058,C04,B12,117,4067.75,670
Public,3828,C03,B04,119,3837.92,669.33
Public,4038,C04,B10,97,4046.08,669.33
Public,3708,C02,B07,95,3715.92,669
Public,4058,C04,B12,39,4061.25,669
Public,4068,C04,B13,47,4071.92,669
Public,4008,C04,B07,61,4013.08,668.33
Public,4018,C04,B08,83,4024.92,668.33
Public,4048,C04,B11,21,4049.75,668.33
Public,4078,C04,B14,101,4086.42,668.33
Public,3638,C01,B15,5,3638.42,668
Public,4038,C04,B10,1,4038.08,667.67
Public,4068,C04,B13,99,4076.25,667.67
Public,4088,C04,B15,119,4097.92,667.33
Public,3838,C03,B05,63,3843.25,667
Public,4078,C04,B14,45,4081.75,667
Public,4078,C04,B14,65,4083.42,667
Public,4048,C04,B11,27,4050.25,666.67
Public,4048,C04,B11,43,4051.58,666.67
Public,4058,C04,B12,45,4061.75,666.67
Public,4088,C04,B15,33,4090.75,666.67
Public,4068,C04,B13,29,4070.42,666.33
Public,4068,C04,B13,73,4074.08,666.33
Public,3638,C01,B15,111,3647.25,666
Public,3658,C02,B02,11,3658.92,666
Public,4048,C04,B11,107,4056.92,666
Public,3838,C03,B05,69,3843.75,665.67
Public,4078,C04,B14,75,4084.25,665.67
Public,4078,C04,B14,95,4085.92,665.67
Public,3498,C01,B01,47,3501.92,665
Public,4048,C04,B11,69,4053.75,665
Public,4058,C04,B12,55,4062.58,664.67
Public,4068,C04,B13,63,4073.25,664.33
Public,4078,C04,B14,31,4080.58,664.33
Public,3588,C01,B10,1,3588.08,664
Public,3598,C01,B11,57,3602.75,664
Public,3608,C01,B12,45,3611.75,664
Public,3638,C01,B15,25,3640.08,664
Public,3648,C02,B01,65,3653.42,664
Public,4048,C04,B11,83,4054.92,664
Public,4058,C04,B12,71,4063.92,664
Public,3828,C03,B04,85,3835.08,663.67
Public,4048,C04,B11,49,4052.08,663.33
Public,4078,C04,B14,69,4083.75,663.33
Public,4078,C04,B14,111,4087.25,663.33
Public,4068,C04,B13,101,4076.42,663
Public,4088,C04,B15,57,4092.75,663
Public,4068,C04,B13,85,4075.08,662.67
Public,4078,C04,B14,77,4084.42,662.67
Public,4078,C04,B14,27,4080.25,662.33
Public,4078,C04,B14,29,4080.42,662.33
Public,4078,C04,B14,73,4084.08,662.33
Public,3658,C02,B02,85,3665.08,662
Public,3838,C03,B05,61,3843.08,662
Public,3828,C03,B04,101,3836.42,661.67
Public,4018,C04,B08,105,4026.75,661.67
Public,4068,C04,B13,111,4077.25,661.67
Public,4088,C04,B15,111,4097.25,661.67
Public,4038,C04,B10,109,4047.08,661.33
Public,4048,C04,B11,87,4055.25,661.33
Public,3608,C01,B12,77,3614.42,661
Public,3638,C01,B15,49,3642.08,661
Public,3688,C02,B05,41,3691.42,661
Public,3988,C04,B05,111,3997.25,661
Public,4048,C04,B11,79,4054.58,661
Public,4058,C04,B12,115,4067.58,661
Public,4078,C04,B14,41,4081.42,661
Public,4088,C04,B15,41,4091.42,661
Public,4088,C04,B15,73,4094.08,661
Public,3828,C03,B04,99,3836.25,660.67
Public,4038,C04,B10,83,4044.92,660.67
Public,4088,C04,B15,99,4096.25,660.67
Public,4048,C04,B11,71,4053.92,660.33
Public,4068,C04,B13,91,4075.58,660.33
Public,4078,C04,B14,43,4081.58,660.33
Public,4088,C04,B15,31,4090.58,660.33
Public,3618,C01,B13,61,3623.08,660
Public,3628,C01,B14,5,3628.42,660
Public,4068,C04,B13,89,4075.42,659.67
Public,4008,C04,B07,71,4013.92,659.33
Public,3628,C01,B14,99,3636.25,659
Public,3838,C03,B05,71,3843.92,659
Public,4008,C04,B07,27,4010.25,659
Public,4048,C04,B11,53,4052.42,659
Public,3838,C03,B05,75,3844.25,658.67
Public,4028,C04,B09,7,4028.58,658.67
Public,4048,C04,B11,29,4050.42,658.67
Public,4058,C04,B12,41,4061.42,658.67
Public,3988,C04,B05,109,3997.08,658.33
Public,4058,C04,B12,77,4064.42,658.33
Public,4088,C04,B15,85,4095.08,658.33
Public,4058,C04,B12,73,4064.08,658
Public,4058,C04,B12,79,4064.58,658
Public,4078,C04,B14,67,4083.58,658
Public,4058,C04,B12,49,4062.08,657.67
Public,4068,C04,B13,117,4077.75,657.33
Public,3738,C02,B10,49,3742.08,657
Public,4058,C04,B12,53,4062.42,657
Public,4068,C04,B13,77,4074.42,657
Public,4068,C04,B13,95,4075.92,657
Public,4088,C04,B15,45,4091.75,657
Public,4038,C04,B10,85,4045.08,656.33
Public,4058,C04,B12,37,4061.08,656.33
Public,4088,C04,B15,79,4094.58,656.33
Public,3498,C01,B01,105,3506.75,656
Public,3608,C01,B12,109,3617.08,656
Public,3638,C01,B15,113,3647.42,656
Public,3698,C02,B06,21,3699.75,656
Public,3718,C02,B08,5,3718.42,656
Public,4048,C04,B11,109,4057.08,655.67
Public,4088,C04,B15,115,4097.58,655.67
Public,4018,C04,B08,107,4026.92,655.33
Public,3538,C01,B05,7,3538.58,655
Public,3608,C01,B12,99,3616.25,655
Public,3618,C01,B13,91,3625.58,655
Public,3648,C02,B01,77,3654.42,655
Public,3768,C02,B13,27,3770.25,655
