Lease_Name,Top_Depth,Core,Box,Inch,Depth_calculated,QMIN_Sample_ID,Quartz,Plagioclase,Calcite,Aragonite,Dolomite,Ankerite,Anatase,Pyrite,Marcasite,Bassanite,Gypsum,Apatite,2_1 clay minerals,Illite/Mica,Illite_Smectite_ R1,Smectite,Kaolinite
Public,3818,C03,B03,13,3819.083333,1901AM01,16.04,4.1,74.75,0,0,0.44,0.21,0.76,0.32,0,0,0.12,2.89,0.235503018,2.654496982,0,0.37
Public,3818,C03,B03,59,3822.916667,1901AM02,22.5,8.29,57.4,0,0,0.75,0.33,1.33,0.41,0,0,0.11,8.22,0.671189516,7.507379032,0.041431452,0.66
Public,3838,C03,B05,31,3840.583333,1901AM03,13.71,1.46,31.48,0,4.21,44.6,0.18,2.11,0.27,0.7,0.15,0.2,0.91,0.049337349,0.814066265,0.046596386,0
Public,3838,C03,B05,65,3843.416667,1901AM04,8.58,1.01,18.11,0,10.71,58.52,0.16,1.09,0.09,0.07,0,,1.65,0.147144289,1.502855711,0,0
Public,3838,C03,B05,91,3845.583333,1901AM05,9.96,11.47,31.6,0,0,1.94,0.97,5.75,2.02,0.2,0,,31.45,2.499785177,28.95021482,0,4.63
Public,3858,C03,B07,49,3862.083333,1901AM06,20.47,6.32,51.16,0,0,3.02,0.42,1.9,0.28,0,0,0.1,16.03,1.60782347,14.42217653,0,0.36
Public,3858,C03,B07,111,3867.25,1901AM07,13.88,4.51,70.9,0,0,0.94,0.27,0.76,0.12,0,0,0.1,8.16,0.83232,7.32768,0,0.36
Public,3878,C03,B09,59,3882.916667,1901AM08,15.07,10.46,44.38,0,0.2,1.37,0.48,3.92,0.33,0.12,0.18,0.54,17.65,0.697918835,16.95208117,0,5.3
Public,3888,C03,B10,13,3889.083333,1901AM09,19.24,3.87,59.71,0,0,0.86,0.4,1.06,0.35,0,0,0.1,13.91,1.768577195,12.14142281,0,0.45
Public,3908,C03,B12,93,3915.75,1901AM10,20.71,6.6,61.24,0,0,0.78,0.37,1.35,0.18,0,0,0.19,7.53,0.393473361,7.136526639,0,1.05
Public,3928,C03,B14,61,3933.083333,1901AM11,20.79,6.95,57.25,0,0,0.91,0.37,1.79,0.3,0.07,0,0.34,9.2,0.275802998,8.924197002,0,2.02
Public,3968,C04,B03,21,3969.75,1901AM12,15.15,9.29,54.26,0,0,0.89,0.59,3.31,0.38,0.14,0.22,0.96,10.04,0.538061574,9.501938426,0,4.76
Public,3988,C04,B05,31,3990.583333,1901AM13,25.25,3.17,43.64,0,3.34,15.99,0.25,2.54,0.19,0,0,0.31,2.72,0.057323498,2.662676502,0,2.57
Public,3988,C04,B05,63,3993.25,1901AM14,12.44,1.1,84.52,0,0.08,1.24,0.05,0.25,,0,0,0.11,0.2,0,0,0,0
Public,3998,C04,B06,91,4005.583333,1901AM15,15.94,3.7,71.34,0,0,3.15,0.16,1.07,0.1,0,0,0.3,0.96,0,0.96,0,3.23
Public,3998,C04,B06,107,4006.916667,1901AM16,24.99,4.66,61.68,0,0,1.82,0.27,1.77,0.2,0,0,0.4,2.57,0,0,0,1.6
Public,4008,C04,B07,3,4008.25,1901AM17,2.47,1,90.5,0,0,1.89,,0.46,,0,0,0,0.83,0,0.732083793,0.097916207,2.79
Public,4008,C04,B07,27,4010.25,1901AM18,6.71,1.92,88.29,0,0.2,0.22,0.05,0.5,0.08,0,0,0,0.59,0,0.367906178,0.222093822,1.44
Public,4008,C04,B07,39,4011.25,1901AM19,17.1,5.63,63.01,0,0,0.7,0.29,2.17,0.38,0,0,0.5,5.31,0,0,0,4.87
Public,4018,C04,B08,33,4020.75,1901AM20,27.09,2.52,58.97,0,0,0.75,0.29,1.5,0.28,0,0,0.3,5.87,0,0,0,2.37
Public,4018,C04,B08,105,4026.75,1901AM21,15.41,0.85,78.94,0,0,2.05,0.08,0.67,0.08,0.1,0,0.12,0.72,0.023871658,0.532106952,0.16402139,0.98
Public,4028,C04,B09,53,4032.416667,1901AM22,10.48,5.53,6.93,0,0,0.17,0.76,6.36,0.89,0.1,0,2.29,40.77,1.194327563,35.55838881,4.017283622,25.72
