Lease_Name,Top_Depth,Core,Box,Inch,Depth_calculated,XRF_adjusted_depth,Wireline_Depth_corrected,Na,Mg,Al,Si,P,S,K,Ca,Ti,Mn,Fe,Ba,V,Cr,Co,Ni,Cu,Zn,Ga,As,Pb,Se,Th,Rb,U,Sr,,Y,Zr,Nb,Mo,Formation,Formation_2,Outliers,Chemofacies_PCA,Concretion,VolcanicAsh,Chemofacies_train
Public core,3978,C04,B04,35,3980.92,,3970.42,0.41,0.75,0.76,6.61,0.06,0.8,0.11,31.22,0.02,213.33,0.71,111,214.28,40,5.96,73.55,49.03,109.15,6,17.33,25,6,2.72,11.49,19.98,1547.37,,8.53,5,5.32,20.21,Public Formation,,FALSE,1,FALSE,FALSE,0
Public core,3978,C04,B04,45,3981.75,,3971.25,0.39,0.5,0.9,4.94,0.18,0.85,0.13,32.79,0.03,213.3,0.86,111,97.99,40,4.76,48.39,40.46,66.63,6,22.93,25,6,2.31,5,21.71,1556.83,,6.83,5,5.45,6,Public Formation,,FALSE,1,FALSE,FALSE,0
Public core,3978,C04,B04,47,3981.92,,3971.42,0.45,0.71,0.6,5.81,0.07,0.67,0.12,31.69,0.03,217.62,0.8,111,92.21,40,5.8,54.3,48.28,81.96,6.18,15.97,25,6,2.69,9.71,19.97,1515.64,,9.41,5,5,6,Public Formation,,FALSE,1,FALSE,FALSE,0
Public core,3978,C04,B04,49,3982.08,,3971.58,0.46,0.34,0.37,5.07,0.003,0.38,0.09,33.72,0.02,272.97,0.66,111,50.16,40,5.54,19.53,23.98,30.29,6,13.3,25,6,2.06,7.15,10.35,1267.21,,6.57,5,5,6,Public Formation,,FALSE,1,FALSE,FALSE,0
Public core,3978,C04,B04,51,3982.25,,3971.75,0.46,0.78,0.52,5.13,0.05,0.56,0.09,32.42,0.02,248.31,0.81,111,30,40,5.62,19.1,26.63,33.8,6,14.15,25,6,2.06,5,15.55,1319.01,,5,5,5,6,Public Formation,,FALSE,1,FALSE,FALSE,0
Public core,3978,C04,B04,53,3982.42,,3971.92,0.38,0.71,0.32,4.94,0.01,0.74,0.08,33.88,0.02,224.09,0.86,111,55.3,40,5.44,21.83,27.7,28.65,6,11.84,25,6,2,5,10,1344.04,,5,5,5,6,Public Formation,,FALSE,1,FALSE,FALSE,0
Public core,3978,C04,B04,55,3982.58,,3972.08,0.42,0.69,0.6,5.25,0.06,0.93,0.11,30.68,0.03,238.25,0.85,111,55.61,40,5.06,24.07,28.13,34,6,14.98,25,6,2.09,6.66,11.95,1258.42,,5,5,5,6,Public Formation,,FALSE,1,FALSE,FALSE,0
Public core,3978,C04,B04,57,3982.75,,3972.25,0.51,0.66,1.13,5.97,0.13,0.89,0.19,27.37,0.07,209,1.02,111,105.38,46.06,5.16,41.24,33.93,55.43,6.49,15.61,25,6,2.43,5.69,21.74,1348.7,,8.25,5,5,6,Public Formation,,FALSE,1,FALSE,FALSE,0
Public core,3978,C04,B04,59,3982.92,,3972.42,0.54,0.15,0.54,5.37,0.05,0.45,0.12,27.83,0.03,273.44,0.68,111,51.35,40,5.95,23.12,30,34.98,6,14.86,25,6,2.22,7.51,14.72,1085.98,,7.14,9.57,5,6,Public Formation,,FALSE,1,FALSE,FALSE,0
Public core,3978,C04,B04,67,3983.58,,3973.08,0.51,0.31,0.64,5.53,0.01,0.53,0.1,30.22,0.03,231.41,0.77,111,54.89,40,7.05,14.22,24.89,30.31,6,12.26,25,6,2.1,9.07,10,1050.29,,10.82,10.83,5,6,Public Formation,,FALSE,1,TRUE,FALSE,0
Public core,3978,C04,B04,101,3986.42,,3975.92,0.52,2.18,0.62,2.67,0.003,0.46,0.11,26.29,0.02,211.39,0.85,111,126.32,40,4.16,15.25,22.77,21.64,6,22.19,25,6,2,10.33,10,771.77,,7.22,21.83,5,6,Public Formation,,FALSE,1,TRUE,FALSE,0
Public core,3988,C04,B05,5,3988.42,,3977.92,0.55,0.04,0.15,4.16,0.11,0.37,0.07,29.67,0.02,200.57,0.65,111,62.45,40,7.87,23.34,29.95,45.45,6,12.35,25,6,2,5,23.27,1440.61,,5,5,5,6,Public Formation,,FALSE,1,FALSE,FALSE,0
Public core,3988,C04,B05,7,3988.58,,3978.08,0.37,0.68,0.57,3.03,0.01,0.5,0.09,35.73,0.02,297.55,0.75,111,44.91,40,6.43,17.55,28.34,29.51,6,11.53,25,6,2,5,10,1144.38,,5.64,18.48,5,6,Public Formation,,FALSE,1,TRUE,FALSE,0
Public core,3988,C04,B05,9,3988.75,,3978.25,0.44,0.09,0.2,3.68,0.003,0.56,0.06,31.62,0.01,231.62,0.79,111,30,40,5.54,20.42,30.1,69.32,6,17.74,25,6,2.04,5,15.58,1255.02,,5,5,5,6,Public Formation,,FALSE,1,FALSE,FALSE,0
Public core,3988,C04,B05,11,3988.92,,3978.42,0.43,0.37,0.24,4,0.003,0.37,0.07,33.83,0.02,217.8,0.66,111,47.65,40,6.66,21.22,27.51,25.08,6,12.77,25,6,2,5,10,1176.77,,5.71,5,5,6,Public Formation,,FALSE,1,TRUE,FALSE,0
Public core,3988,C04,B05,13,3989.08,,3978.58,0.5,0.4,0.27,4.86,0.06,0.37,0.07,30.99,0.02,232.84,0.64,111,37.95,40,7.26,14.29,25.77,27.98,6,12.49,25,6,2.05,5,20.39,1281.91,,5,5,5,6,Public Formation,,FALSE,1,FALSE,FALSE,0
Public core,3988,C04,B05,15,3989.25,,3978.75,0.49,0.89,0.61,5.17,0.12,0.63,0.12,30.27,0.03,209.47,0.8,111,61.67,40,6.97,26.66,30.21,29.89,6,15.9,25,6,2.03,5,18.38,1504.23,,5.95,5,5,6,Public Formation,,FALSE,1,FALSE,FALSE,0
Public core,3988,C04,B05,19,3989.58,,3979.08,0.48,0.49,1.1,4.65,0.02,0.49,0.11,29.8,0.03,218.09,0.69,111,36.98,40,5.91,13.45,27.23,41.9,6,10.88,25,6,2,5,11.19,1127.78,,10.54,12.34,5,6,Public Formation,,FALSE,1,FALSE,FALSE,0
Public core,3988,C04,B05,21,3989.75,,3979.25,0.46,0.8,0.57,4.09,0.003,0.31,0.11,33,0.03,247.95,0.69,111,30,40,6.65,15.9,26.74,26.33,6.01,11.78,25,6,2.13,6.27,12.24,1116.61,,5.23,8.23,5,6,Public Formation,,FALSE,1,TRUE,FALSE,0
Public core,3988,C04,B05,23,3989.92,,3979.42,0.36,0.58,1.17,4,0.04,0.58,0.15,34.17,0.03,238.27,0.83,111,48.82,40,6.73,14.95,28.52,24.89,6,14.36,25,6,2,5.02,10,1074.87,,6.09,23.67,5,6,Public Formation,,FALSE,1,TRUE,FALSE,0
Public core,3988,C04,B05,55,3992.58,,3982.08,0.48,0.04,0.69,6.01,0.13,0.75,0.15,27.8,0.04,182.07,0.79,111,437.53,40,5.19,71.58,42.66,93.78,6.39,14.26,25,6,2.12,5.78,13.87,1440.26,,5,5,5,38.64,Public Formation,,FALSE,1,FALSE,FALSE,0
Public core,3988,C04,B05,61,3993.08,,3982.58,0.52,0.04,0.16,4.63,0.08,0.32,0.07,30.47,0.01,202.72,0.64,111,126.44,40,7.47,23.59,23.16,32.19,6,10.11,25,6,2.02,9.14,10,1275.56,,5.17,5,5,8.69,Public Formation,,FALSE,1,FALSE,FALSE,0
Public core,3988,C04,B05,63,3993.25,,3982.75,0.48,0.25,0.13,4.77,0.02,0.33,0.06,31.02,0.01,175.16,0.66,111,84.26,40,7.48,18.16,23.34,28.95,6,11.47,25,6,2,5,10,1371.11,,5,5,5,6,Public Formation,,FALSE,1,FALSE,FALSE,0
Public core,3988,C04,B05,65,3993.42,,3982.92,0.45,0.59,0.21,2.69,0.003,0.58,0.09,35.27,0.01,201.32,0.76,111,72.44,40,6.73,23.24,28.54,26.24,6,13.23,25,6,2.08,5,13,1160.87,,5,5,5,6,Public Formation,,FALSE,1,TRUE,FALSE,0
Public core,3988,C04,B05,67,3993.58,,3983.08,0.54,0.21,0.22,4.13,0.04,0.27,0.07,30.59,0.01,201.1,0.61,111,89.88,40,6.66,23.21,26.75,35.8,6,10.54,25,6,2.03,5,17.83,1309.35,,5,5,5,6,Public Formation,,FALSE,1,FALSE,FALSE,0
Public core,3988,C04,B05,85,3995.08,,3984.58,0.47,0.14,0.38,3.81,0.003,0.54,0.08,32.08,0.02,218.53,0.75,111,78.81,40,6.94,24.18,29.03,25.87,6,12.69,25,6,2,5,12.4,1160.73,,6.27,12.13,5,6,Public Formation,,FALSE,1,FALSE,FALSE,0
Public core,3988,C04,B05,87,3995.25,,3984.75,0.53,0.04,0.32,4.82,0.03,0.31,0.08,30.53,0.02,205.65,0.65,111,80.82,40,7.56,23.45,29.12,49.66,6,12.18,25,6,2,6.15,10,1128.71,,20.73,5,6.19,6,Public Formation,,FALSE,1,FALSE,FALSE,0
Public core,3988,C04,B05,89,3995.42,,3984.92,0.4,0.77,0.3,4.68,0.003,0.39,0.09,34.85,0.02,249.06,0.65,111,103.15,40,6.68,26.94,26.36,71.97,6,14.76,25,6,2,5,13.16,1237.85,,7.98,5,5,6,Public Formation,,FALSE,1,TRUE,FALSE,0
Public core,3998,C04,B06,95,4005.92,,3995.42,0.47,0.54,2.48,5.07,0.12,0.68,0.14,29.6,0.05,194.99,0.9,111,105.27,40,7.18,13.91,25.03,33.77,8.39,19.94,25,6,2.01,8.35,10,760.41,,12.04,94.68,5,9.46,Public Formation,,FALSE,1,TRUE,FALSE,0
Public core,3998,C04,B06,105,4006.75,,3996.25,0.43,0.35,0.44,5.36,0.04,0.47,0.08,32.49,0.02,241.6,0.68,111,79.6,40,7.04,24.47,26.76,38.23,6,13.23,25,6,2,5,12.62,1167.11,,6.51,5,5,12.67,Public Formation,,FALSE,1,TRUE,FALSE,0
