Lease_Name,Top_Depth,Core,Box,Inch,Depth_calculated,XRF_adjusted_depth,Wireline_Depth,Na,Mg,Al,Si,P,S,K,Ca,Ti,Mn,Fe,Ba,V,Cr,Co,Ni,Cu,Zn,Ga,As,Pb,Se,Th,Rb,U,Sr,Y,Zr,Nb,Mo,Formation,Formation_2
Cinco Saus,3498,C01,B01,1,3498.08,,3487.58,0.5,0.32,0.27,2.66,0.03,0.31,0.18,34.96,0.02,183.47,0.74,111,30,40,6.36,27.82,29.62,32.09,4.88,13.77,10.22,6,2.43,5.91,20.79,1722.66,5.86,5,4.34,6,Austin Chalk,AC-C
Cinco Saus,3498,C01,B01,3,3498.25,,3487.75,0.47,0.21,0.25,2.49,0.003,0.28,0.16,33.17,0.02,159.98,0.72,111,30,40,6.9,21.89,28.58,34.31,5.73,12.28,11.74,6,2.3,6.85,15.97,1741.36,2.75,5,3.1,6,Austin Chalk,AC-C
Cinco Saus,3498,C01,B01,5,3498.42,,3487.92,0.43,0.34,0.19,2.29,0.003,0.31,0.14,35.83,0.02,185.65,0.72,111,30,40,7.36,18.75,27.54,30.52,5.51,11.12,10.03,6,2.09,5,18.27,1771.58,0.35,5,2.77,6,Austin Chalk,AC-C
Cinco Saus,3498,C01,B01,7,3498.58,,3488.08,0.49,0.18,0.13,2.25,0.003,0.23,0.12,33.69,0.01,186.2,0.69,111,30,40,7.11,21.44,27.63,27.66,7.29,8.02,10.51,6,2.41,5,23.31,1926.03,0.45,5,2.33,6,Austin Chalk,AC-C
Cinco Saus,3498,C01,B01,9,3498.75,,3488.25,0.4,0.78,0.35,2.5,0.003,0.29,0.15,36.22,0.02,194.58,0.76,111,30,40,6.96,19.53,30.84,33.03,5.57,13.16,12.03,6,2,5,14.01,1989.9,4.45,5,2,6,Austin Chalk,AC-C
Cinco Saus,3498,C01,B01,11,3498.92,,3488.42,0.43,0.78,0.3,2.46,0.003,0.31,0.15,36.76,0.02,185.18,0.74,111,30,40,7.83,20.39,28.92,32.88,4.7,12.7,11.57,6,2.28,5,18.28,1973.67,0.37,5,2.46,6,Austin Chalk,AC-C
Cinco Saus,3498,C01,B01,13,3499.08,,3488.58,0.4,0.61,0.28,2.52,0.003,0.33,0.16,36.36,0.02,181.03,0.73,111,30,40,7.57,33.21,30.15,32.94,6.36,10.76,11.14,6,2.28,5,21.01,1919.01,4.65,5,3,6,Austin Chalk,AC-C
Cinco Saus,3498,C01,B01,15,3499.25,,3488.75,0.4,1.07,0.43,2.65,0.003,0.35,0.19,37.16,0.02,201.54,0.71,111,30,40,6.86,21.48,26.54,30.48,6,13.13,12.11,6,2.33,6.32,15.1,1819.82,4.76,5,2.84,6,Austin Chalk,AC-C
Cinco Saus,3498,C01,B01,17,3499.42,,3488.92,0.38,0.44,0.5,2.83,0.04,0.36,0.23,35.96,0.03,176.86,0.77,111,30,40,6.53,27.75,28.94,49.08,7.54,11.06,11.64,6,2.17,5,13.7,1775.85,7.67,5,3.64,6,Austin Chalk,AC-C
Cinco Saus,3498,C01,B01,19,3499.58,,3489.08,0.38,0.73,0.8,3.4,0.08,0.54,0.32,35.65,0.04,167.71,0.9,111,30,40,5.21,36.63,35.19,50.9,6.98,16.73,13.65,6,2.82,12.08,16.46,1648.85,7.74,5,5.29,6,Austin Chalk,AC-C
Cinco Saus,3498,C01,B01,21,3499.75,,3489.25,0.5,0.55,1.78,4.97,0.28,1.19,0.63,26.61,0.17,144.51,1.56,1348.69,67.87,42.7,3.61,99.43,69.23,146.92,11.47,30.39,20.82,6,4.23,27.84,24.02,1402.78,10.49,26.74,8.31,6,Austin Chalk,AC-C
Cinco Saus,3498,C01,B01,23,3499.92,,3489.42,0.44,0.04,1.51,4.56,0.15,0.62,0.53,29.66,0.09,162.14,1.02,111,59.35,43.76,5.04,86.85,54.62,118.88,10.94,23.75,17.51,6,4.23,18.35,43.08,1548.22,6.46,10.33,7.61,6,Austin Chalk,AC-C
Cinco Saus,3498,C01,B01,25,3500.08,,3489.58,0.4,0.51,0.54,2.92,0.03,0.39,0.24,35.64,0.03,162.59,0.78,111,30,40,7.04,36.26,36.67,88.95,6.6,11.66,10.63,6,2.7,8.39,22.35,1734.09,4.97,5,3.57,6,Austin Chalk,AC-C
Cinco Saus,3498,C01,B01,27,3500.25,,3489.75,0.46,0.3,0.3,2.41,0.02,0.26,0.17,35.08,0.01,174.94,0.74,111,30,40,6.46,21.38,30.49,43.65,4.9,12.28,10.75,6,2.42,5,25.01,1732.78,3.35,5,4.15,6,Austin Chalk,AC-C
Cinco Saus,3498,C01,B01,29,3500.42,,3489.92,0.38,0.4,0.24,2.31,0.01,0.28,0.13,35.64,0.01,168.9,0.71,111,30,40,8.18,19.59,25.43,31.34,4.76,11.74,11.55,6,2.26,5,18.29,1699.06,7.05,5,4.07,6,Austin Chalk,AC-C
Cinco Saus,3498,C01,B01,31,3500.58,,3490.08,0.4,0.53,0.23,2.1,0.003,0.41,0.12,36.11,0.01,162.72,0.77,111,30,40,6.33,20.49,27.94,29.83,6.63,12.35,11.52,6,2.03,9.73,10,1351.78,10.31,5,4.29,6,Austin Chalk,AC-C
Cinco Saus,3498,C01,B01,33,3500.75,,3490.25,0.51,0.04,0.05,2.04,0.02,0.26,0.1,31.69,0.01,161.34,0.74,111,30,40,6.86,28.04,26.72,29.53,4.31,13.3,10.76,6,2.1,5,17.32,1520.99,0,5,4.53,6,Austin Chalk,AC-C
Cinco Saus,3498,C01,B01,35,3500.92,,3490.42,0.53,0.04,0.15,2.27,0.003,0.26,0.13,32.16,0.01,166.93,0.67,111,30,40,7.04,29.19,28.21,26.11,6.04,11.51,10.99,6,2.13,5,19.81,1700.19,3.39,5,3.82,6,Austin Chalk,AC-C
Cinco Saus,3498,C01,B01,37,3501.08,,3490.58,0.46,0.36,0.31,2.56,0.06,0.34,0.19,33.89,0.02,168.58,0.74,111,30,40,7.97,31.25,32.56,35.5,6.79,11.86,11.65,6,2.39,9.63,11.17,1698.79,5.94,5,3.54,6,Austin Chalk,AC-C
Cinco Saus,3498,C01,B01,39,3501.25,,3490.75,0.47,0.25,0.27,2.39,0.04,0.29,0.17,33.97,0.02,177.4,0.74,111,30,40,6.49,27.57,28.05,43.78,6.48,10.82,10.79,6,2.31,5,23.87,1676.77,2.51,5,2.24,6,Austin Chalk,AC-C
Cinco Saus,3498,C01,B01,41,3501.42,,3490.92,0.47,0.11,0.35,2.64,0.01,0.42,0.21,33.81,0.02,158.97,0.8,111,43.79,40,5.93,55.99,36.39,81.21,6.7,10.92,11.96,6,2.72,8.86,20.8,1611.42,6.61,5,4.64,6,Austin Chalk,AC-C
Cinco Saus,3498,C01,B01,43,3501.58,,3491.08,0.37,0.81,1.43,4.31,0.27,0.92,0.49,32.52,0.06,157.18,1.07,111,254.48,40,4.61,172.05,77.86,179.38,6.44,20.29,15.26,6,3.22,5,40.61,1525.43,3.49,5,5.7,82.82,Austin Chalk,AC-C
Cinco Saus,3498,C01,B01,45,3501.75,,3491.25,0.41,0.57,0.57,2.84,0.06,0.66,0.23,35.16,0.03,158.96,0.92,111,99.53,40,5.77,103.2,51.72,89.48,5.24,16.16,12.88,6,2.52,5,28.99,1613.93,2.82,5,4.96,41.32,Austin Chalk,AC-C
Cinco Saus,3498,C01,B01,47,3501.92,,3491.42,0.42,0.65,0.47,2.66,0.12,0.92,0.2,35.59,0.03,171.57,0.86,111,90.26,40,6.32,72.94,35.79,49.3,6.9,13,12.23,6,2.43,5,27.86,1677.17,3.16,5,3.97,25.09,Austin Chalk,AC-C
Cinco Saus,3498,C01,B01,49,3502.08,,3491.58,0.4,0.38,0.46,2.59,0.12,0.68,0.18,36.04,0.02,164.34,0.88,111,93.96,40,6.08,98.4,47.54,76.41,5.92,14.05,12.44,6,2.49,5,25.76,1827.84,3.11,5,5.23,37.77,Austin Chalk,AC-C
Cinco Saus,3498,C01,B01,51,3502.25,,3491.75,0.29,1.39,0.55,2.79,0.26,2.52,0.24,35.52,0.03,178.64,0.86,111,105.51,40,5.33,95.58,43.8,71.83,6.91,19.79,14.55,6,2.77,9.1,23.35,1615.12,1.72,5,2.64,42.83,Austin Chalk,AC-C
Cinco Saus,3498,C01,B01,53,3502.42,,3491.92,0.43,0.36,0.12,1.97,0.03,0.33,0.12,37.13,0.01,182.99,0.72,111,40.88,40,6.55,32.41,26.98,28.78,3.57,11.81,9.34,6,2.05,5.51,13.53,1148.81,0.84,5,2.43,8.42,Austin Chalk,AC-C
Cinco Saus,3498,C01,B01,55,3502.58,,3492.08,0.39,0.55,0.35,2.22,0.003,0.33,0.17,37.42,0.01,185.37,0.73,111,58.91,40,6.8,35.89,30.42,26.61,4.46,10.54,11.01,6,2,5,15.52,1106.61,2.58,5,2.6,7.05,Austin Chalk,AC-C
Cinco Saus,3498,C01,B01,57,3502.75,,3492.25,0.47,0.49,1.56,4.79,0.35,1.32,0.52,29.34,0.07,143.28,1.27,111,334.49,40,2.86,242.58,94.12,227.14,8.71,27.23,17.14,6,3.76,11.98,42.64,1486.12,2.48,7.09,7.22,143.75,Austin Chalk,AC-C
Cinco Saus,3498,C01,B01,59,3502.92,,3492.42,0.38,0.77,1.66,4.74,0.15,0.54,0.57,32.65,0.04,164.72,0.88,111,138.14,41.98,5.85,73.36,45.88,111.67,8.9,17.38,14.17,6,3.4,21.63,15.17,1347.44,9.03,5.3,3.86,12.92,Austin Chalk,AC-C
Cinco Saus,3498,C01,B01,61,3503.08,,3492.58,0.4,0.67,1.88,4.9,0.17,0.52,0.59,31.9,0.05,188.65,0.86,111,72.23,40,6.2,54.58,36.59,87.39,7.59,17.25,14.44,6,3.36,20.71,16.34,1433.07,9.92,5,4.35,6,Austin Chalk,AC-C
Cinco Saus,3498,C01,B01,63,3503.25,,3492.75,0.45,2.17,2.61,5.97,0.18,0.74,0.78,29.67,0.05,197.04,0.99,111,133.42,52.38,4.29,60.86,42.19,115.02,10.18,24.49,19.96,6,3.78,24.12,22.28,1406.59,7.03,5,5.97,13.69,Austin Chalk,AC-C
Cinco Saus,3498,C01,B01,65,3503.42,,3492.92,0.43,5.4,2.29,5.29,0.14,0.7,0.58,25.11,0.02,263.41,0.7,111,85.52,58.53,5.62,44.02,27.03,20.8,5.73,14.8,12.58,6,2.99,14.22,22.7,1573.46,7.25,5,4.39,6.64,Austin Chalk,AC-C
Cinco Saus,3498,C01,B01,67,3503.58,,3493.08,0.45,5.46,1.69,4.37,0.1,0.57,0.47,24.43,0.02,246.56,0.76,111,70.64,53.9,5.79,17.55,20.37,35.02,5.15,15.24,12.47,6,2.97,12.75,26,1642.85,0,5,2.81,6,Austin Chalk,AC-C
Cinco Saus,3498,C01,B01,69,3503.75,,3493.25,0.43,0.85,1.71,5.41,0.55,1.84,0.62,26.46,0.07,146.38,1.5,111,406.43,40,4.04,335.91,134.93,472.06,13.32,29.55,16.8,6,4.32,15.73,45.46,1385.37,8.88,22.76,10.79,209.18,Austin Chalk,AC-C
Cinco Saus,3498,C01,B01,71,3503.92,,3493.42,0.49,0.42,1.16,3.88,0.28,0.75,0.39,33.05,0.04,154.11,0.96,111,212.1,40,3.9,148.31,64.78,148.49,8.88,17.34,13.74,6,3.16,5.11,36.73,1675.57,1.89,5,6.61,74.78,Austin Chalk,AC-C
Cinco Saus,3498,C01,B01,73,3504.08,,3493.58,0.43,0.48,0.27,2.4,0.06,0.59,0.15,36.06,0.02,168.28,0.81,111,60.26,40,5.34,94.69,41.8,45.07,5.54,13.93,12.22,6,2.37,5,21.2,1954.38,2.79,5,3.1,34.86,Austin Chalk,AC-C
