,Lease_Name,Top_Depth,Core,Box,Inch,Depth_calculated,XRF_adjusted_depth,Wireline_Depth,Na,Mg,Al,Si,P,S,K,Ca,Ti,Mn,Fe,Ba,V,Cr,Co,Ni,Cu,Zn,Ga,As,Pb,Se,Th,Rb,U,Sr,Y,Zr,Nb,Mo,Formation,Formation_2,Outliers,Chemofacies_PCA,PCA1,PCA2,Chemofacies_Train
1,Public,3968,C04,B03,113,3977.42,,3967.42,0.44,0.51,1.81,9.6,0.21,1.28,0.25,22.38,0.08,166.87,1.11,111,622.61,55.45,4.31,166.51,71.63,160.91,8.88,25.14,25,6,3.14,16.25,21.1,1350.89,10.08,17,7.74,84.73,Eagle Ford,Lower Eagle Ford,FALSE,1,3.398233349,-1.233378016,1
8,Public,3978,C04,B04,9,3978.75,,3968.75,0.49,0.85,1.09,7.98,0.41,0.98,0.14,27.29,0.04,184.83,0.89,111,384.75,43.51,6.47,92.29,48.77,138.15,6.81,16.58,25,6,2.45,5,40.75,1594.4,11.01,5,7.09,34.52,Eagle Ford,Lower Eagle Ford,FALSE,1,0.093683674,-2.492807017,1
9,Public,3978,C04,B04,13,3979.08,,3969.08,0.5,0.27,1.37,7.42,0.2,0.75,0.15,27.58,0.05,175.83,0.76,111,328.99,54.6,5.68,80.95,44.67,99.52,8.77,20.14,25,6,3.03,11.87,27.89,1465.34,10.99,26.67,5.58,36.9,Eagle Ford,Lower Eagle Ford,FALSE,1,0.14094284,-0.618213523,1
10,Public,3978,C04,B04,15,3979.25,,3969.25,0.65,0.04,0.62,8.64,0.14,0.59,0.11,22.76,0.03,190.32,0.66,111,260.16,53.17,6.51,65.9,49.49,156.98,6,17.45,25,6,2.54,6.96,24.89,1613.37,11.83,5,5.89,29.86,Eagle Ford,Lower Eagle Ford,FALSE,1,-1.255149352,-0.488200298,1
11,Public,3978,C04,B04,17,3979.42,,3969.42,0.47,0.48,1.1,10.05,0.22,0.96,0.18,24.63,0.06,185.52,0.87,111,349.55,68.85,5.76,75,52.01,127.51,8.1,16.95,25,6,2.87,11.88,24.78,1315.18,12.93,28.19,7.31,27.3,Eagle Ford,Lower Eagle Ford,FALSE,1,0.959904222,0.100306039,1
12,Public,3978,C04,B04,19,3979.58,,3969.58,0.51,0.35,1.06,8,0.2,1.02,0.19,24.58,0.07,180.96,1.01,111,349.26,64.42,4.75,86.33,53.33,166.58,9.06,21.63,25,6,2.64,7.75,23.65,1343.33,8.99,23.08,5,27.04,Eagle Ford,Lower Eagle Ford,FALSE,1,0.815607653,-0.989212059,1
15,Public,3978,C04,B04,27,3980.25,,3970.25,0.45,0.69,1.5,8.89,0.29,1.24,0.19,27.06,0.06,196,1.01,111,321.71,56.46,5.89,93.48,57.94,133.27,6.94,22.16,25,6,2.94,14.93,19.37,1375.4,15.28,21.38,5,28.53,Eagle Ford,Lower Eagle Ford,FALSE,1,0.927987175,-0.104780952,1
17,Public,3978,C04,B04,33,3980.75,,3970.75,0.43,0.54,1.11,9.11,0.21,0.93,0.2,26.95,0.06,194.34,0.86,111,236.7,71.94,4.98,64.09,42.93,67.67,7.05,16.15,25,6,2.84,13.76,17.31,1376.91,9.09,13.09,7.28,9.25,Eagle Ford,Lower Eagle Ford,FALSE,1,-0.044591143,-0.079169582,1
19,Public,3978,C04,B04,37,3981.08,,3971.08,0.48,0.5,1.47,10.1,0.19,1.15,0.23,25.2,0.06,184.81,0.99,111,280.54,74.4,3.88,100.35,58.27,102.33,7.75,20.46,25,6,2.88,15.31,17.16,1298.09,11.04,14.07,6.77,28.09,Eagle Ford,Lower Eagle Ford,FALSE,1,1.465757906,-0.011595469,1
22,Public,3978,C04,B04,43,3981.58,,3971.58,0.37,0.89,1.99,7.36,0.3,1.48,0.23,27.6,0.09,193.83,1.23,111,237.79,65.1,4.47,89.72,62.57,145.92,7.08,32.09,25,6,2.79,14.98,14.07,1301.18,13.64,26.91,5,21.57,Eagle Ford,Lower Eagle Ford,FALSE,1,1.908639388,-0.457976649,1
29,Public,3978,C04,B04,57,3982.75,,3972.75,0.51,0.66,1.13,5.97,0.13,0.89,0.19,27.37,0.07,209,1.02,111,105.38,46.06,5.16,41.24,33.93,55.43,6.49,15.61,25,6,2.43,5.69,21.74,1348.7,8.25,5,5,6,Eagle Ford,Lower Eagle Ford,FALSE,1,-1.604365433,-0.689235741,1
35,Public,3978,C04,B04,69,3983.75,,3973.75,0.53,0.37,1.26,6.73,0.09,0.95,0.17,26.76,0.06,203.56,0.99,111,81.28,50.8,5.48,44.28,39.09,81.08,7.24,19.77,25,6,2.68,11.18,16.33,1404.94,8.6,5,5,6,Eagle Ford,Lower Eagle Ford,FALSE,1,-1.18443551,-0.166710295,1
38,Public,3978,C04,B04,75,3984.25,,3974.25,0.51,0.38,1.8,7.61,0.21,1.05,0.18,25.89,0.1,185.44,0.99,394.33,300.29,53.87,4.54,69.82,46.67,81.81,7.84,24.26,25,6,2.81,6.94,30.87,1319.11,8.73,13.06,5.24,42.08,Eagle Ford,Lower Eagle Ford,FALSE,1,1.030626329,-1.187315456,1
39,Public,3978,C04,B04,77,3984.42,,3974.42,0.65,0.04,0.72,6.63,0.11,0.73,0.11,23.95,0.04,186.39,0.8,111,193.93,45.41,4.41,85.48,59.14,130.42,6.75,28.13,25,6,2.79,12.27,18.71,1290.17,9.93,17.6,5.57,46.78,Eagle Ford,Lower Eagle Ford,FALSE,1,-0.278395942,-0.225321233,1
44,Public,3978,C04,B04,87,3985.25,,3975.25,0.46,0.44,1.75,8.1,0.21,1.2,0.21,25.87,0.09,174.4,1.19,269.49,492.71,53.5,5.84,76.28,50.85,81.19,7.98,20.37,25,6,2.62,8.9,20.82,1426.74,9.28,12.6,6.3,25.8,Eagle Ford,Lower Eagle Ford,FALSE,1,1.006857485,-0.923215058,1
45,Public,3978,C04,B04,89,3985.42,,3975.42,0.61,0.04,1.04,10.69,0.19,0.8,0.16,21.39,0.05,197.92,0.78,111,406.34,67.08,3.8,76.63,51.27,132.94,6,21.29,25,6,2.7,12.71,18.34,1172.23,7.52,20.75,5.91,26.55,Eagle Ford,Lower Eagle Ford,FALSE,1,0.342929028,0.328152985,1
46,Public,3978,C04,B04,91,3985.58,,3975.58,0.63,0.04,0.75,7.43,0.16,0.68,0.15,23.07,0.04,183.45,0.74,111,353.22,52.91,6.94,90.95,55.86,143.34,6.69,15.58,25,6,2.74,11.94,19.29,1170.7,10.08,24.87,5.4,24.49,Eagle Ford,Lower Eagle Ford,FALSE,1,-0.570626661,0.649775973,1
48,Public,3978,C04,B04,95,3985.92,,3975.92,0.57,0.22,1.17,8.84,0.16,0.86,0.16,23.68,0.06,192.37,0.87,111,380.95,54.3,6.75,92.9,52.91,173.71,9.43,19.85,25,6,2.55,9.62,20.2,1136.86,7.21,22.63,7.08,43.19,Eagle Ford,Lower Eagle Ford,FALSE,1,0.467851482,0.126361359,1
50,Public,3978,C04,B04,99,3986.25,,3976.25,0.55,0.04,0.56,7.91,0.12,0.62,0.11,22.95,0.04,202.42,0.64,111,289.79,51.24,5.77,78.09,44.34,142.87,6.73,20.43,25,6,2.64,7.62,27.13,1291.72,9.59,15.87,6.81,34.82,Eagle Ford,Lower Eagle Ford,FALSE,1,-0.903382387,-0.48533474,1
52,Public,3978,C04,B04,107,3986.92,,3976.92,0.46,0.29,1.27,10.08,0.27,1.04,0.19,24.44,0.08,187.27,0.97,471.71,564.71,66.24,6.09,98.2,63.07,231.64,7.9,24.03,25,6,2.95,14.78,19.64,1267.75,9.88,28.74,5.52,35.69,Eagle Ford,Lower Eagle Ford,FALSE,1,2.06211606,-0.327137532,1
53,Public,3978,C04,B04,113,3987.42,,3977.42,0.41,0.35,1.15,10.58,0.17,0.75,0.18,24.42,0.05,213.12,0.69,111,281.62,67.07,5.01,51.43,40.5,174.17,7.84,14.87,25,6,2.34,5.74,21.17,1346.04,10.33,26.05,5.94,9.1,Eagle Ford,Lower Eagle Ford,FALSE,1,-0.641817783,-0.243720034,1
56,Public,3978,C04,B04,119,3987.92,,3977.92,0.55,0.04,1.02,9.44,0.2,0.67,0.14,22.3,0.04,200.34,0.74,111,93.49,74.37,5.72,43.37,39.23,75.06,6.53,14.69,25,6,2.54,11.92,15.03,1081.34,10.46,19.95,6.9,6,Eagle Ford,Lower Eagle Ford,FALSE,1,-0.906226611,1.56612164,1
57,Public,3988,C04,B05,1,3988.08,,3978.08,0.49,0.41,1.02,10.46,0.22,0.72,0.16,23.9,0.05,211.13,0.72,111,106.55,74.84,6.14,48.26,37.68,64.15,7.95,14.43,25,6,2.55,10.49,17.73,1119.97,13.7,21.5,6.21,6,Eagle Ford,Lower Eagle Ford,FALSE,1,-0.734756153,1.569517188,1
58,Public,3988,C04,B05,3,3988.25,,3978.25,0.56,0.04,0.75,5,0.19,0.74,0.11,25.6,0.05,197.19,0.9,111,99.44,47.28,5.19,57.71,45.36,64.28,7.19,19.67,25,6,2.35,8,15.91,1347.92,9.2,18.72,5.02,6,Eagle Ford,Lower Eagle Ford,FALSE,1,-1.655595245,-0.170228513,1
74,Public,3988,C04,B05,35,3990.92,,3980.92,0.4,0.08,1.15,10.03,0.26,1.2,0.18,22.11,0.07,199.67,1.02,292.45,418.58,77.05,5.39,97.33,62.58,133.69,8.36,25.8,25,6,2.72,8,26.3,1169.35,7.49,16.94,5.68,39.92,Eagle Ford,Lower Eagle Ford,FALSE,1,1.449777758,-1.100926841,1
