,Unnamed: 0,Lease_Name,Top_Depth,Core,Box,Inch,Depth_calculated,XRF_adjusted_depth,Wireline_Depth,Na,Mg,Al,Si,P,S,K,Ca,Ti,Mn,Fe,Ba,V,Cr,Co,Ni,Cu,Zn,Ga,As,Pb,Se,Th,Rb,U,Sr,Y,Zr,Nb,Mo,Formation,Formation_2,Outliers,Chemofacies_PCA,PCA1,PCA2,Chemofacies_train,Chemofacies_NN,Prob1,Prob2,Prob3,Prob4,Prob10,Prob20
0,0,Cinco Saus,3598,C01,B11,39,3601.25,,3589.25,0.46,0.28,0.52,3.04,0.1,0.64,0.17,32.4,0.03,159.54,0.82,111.0,88.24,40.0,6.66,29.63,28.28,63.18,6.0,11.47,25.0,6,2.0,5.0,14.67,1512.72,7.3,5.0,5.0,6.0,Eagle Ford,Upper Eagle Ford,False,2,-4.040473886105733,0.2039951376736683,,1.0,0.9802590688755568,1.2572424694829705e-09,6.496810714224217e-08,0.01961700922117266,0.00012186105407530844,1.9946238455737423e-06
1,1,Cinco Saus,3598,C01,B11,41,3601.42,,3589.42,0.46,0.29,0.7,3.53,0.13,0.69,0.2,30.43,0.04,167.74,0.87,111.0,120.29,40.0,5.95,46.72,30.04,50.95,6.0,16.37,25.0,6,2.46,5.0,26.17,1626.33,5.0,5.0,5.0,6.0,Eagle Ford,Upper Eagle Ford,False,2,-3.3012583171884886,1.0766090773531392,,4.0,0.20963586550101437,1.0007459082892427e-08,2.6732222603174385e-07,0.7902805052970272,8.287854658192172e-05,4.733256913464203e-07
2,2,Cinco Saus,3598,C01,B11,43,3601.58,,3589.58,0.45,0.39,0.28,2.0,0.003,0.32,0.11,36.9,0.01,142.67,0.7,111.0,39.41,40.0,7.14,17.75,23.4,40.55,6.0,8.15,25.0,6,2.0,5.5,10.0,756.15,5.09,8.7,5.0,6.0,Eagle Ford,Upper Eagle Ford,False,2,-5.252304339978204,-0.4610495895020634,,10.0,0.18644077158456776,8.474821494680665e-10,4.412509332644705e-05,0.00019794557777485803,0.8127863163063482,0.0005308405905006215
3,3,Cinco Saus,3598,C01,B11,45,3601.75,,3589.75,0.47,0.14,0.52,3.71,0.02,0.35,0.17,32.38,0.02,171.23,0.71,111.0,76.5,40.0,6.77,36.68,36.88,114.09,6.51,16.18,25.0,6,2.39,5.0,21.71,1833.23,5.0,5.0,5.1,6.0,Eagle Ford,Upper Eagle Ford,False,2,-4.0105509759030005,0.9696335273650856,,4.0,0.3998923443616618,1.0539109842091288e-09,9.290675436941085e-08,0.6000404386600212,6.690484536186819e-05,2.18172289739116e-07
4,4,Cinco Saus,3598,C01,B11,47,3601.92,,3589.92,0.48,0.3,0.73,3.69,0.1,0.44,0.22,32.05,0.04,154.73,0.83,111.0,123.41,40.0,6.48,43.9,32.31,168.13,6.94,17.11,25.0,6,2.59,5.86,23.97,1643.37,6.03,5.0,5.0,6.0,Eagle Ford,Upper Eagle Ford,False,2,-3.026969955316059,1.2675362999046964,,4.0,0.05758569290032098,7.905005598574259e-09,2.6667063127847034e-07,0.9423718384678728,4.200446664620618e-05,1.8958952315677278e-07
5,5,Cinco Saus,3598,C01,B11,49,3602.08,,3590.08,0.5,0.16,0.15,2.47,0.003,0.27,0.11,33.82,0.01,183.02,0.69,111.0,37.58,40.0,7.21,19.56,26.74,47.76,6.0,13.1,25.0,6,2.0,6.26,10.0,750.78,8.21,7.01,5.0,6.0,Eagle Ford,Upper Eagle Ford,False,2,-4.832308098903578,-0.6983684583866204,,10.0,0.19635927085247382,1.68449801839198e-08,0.00017153200211744967,0.0013614958753513987,0.8009885562308763,0.0011191281942008642
6,6,Cinco Saus,3598,C01,B11,51,3602.25,,3590.25,0.46,0.15,0.2,2.23,0.003,0.24,0.09,33.92,0.01,174.24,0.72,111.0,30.0,40.0,6.96,19.59,24.91,40.92,6.0,10.85,25.0,6,2.05,8.85,10.0,657.23,5.05,10.73,5.0,6.0,Eagle Ford,Upper Eagle Ford,False,2,-5.037279785758609,-0.683026491723079,,10.0,0.0944493679034698,2.8754581852109724e-09,9.647723617950624e-05,0.0002647208541012572,0.9044633528516614,0.0007260782791297521
7,7,Cinco Saus,3598,C01,B11,55,3602.58,,3590.58,0.39,0.92,1.07,4.09,0.22,1.44,0.21,31.47,0.04,159.74,0.97,111.0,108.86,40.0,5.65,55.09,32.98,52.37,6.0,20.37,25.0,6,2.37,5.0,30.77,1930.01,5.0,5.0,5.27,6.0,Eagle Ford,Upper Eagle Ford,False,1,-2.4151396739388997,2.2277342364767736,,4.0,0.0010363399645009655,3.0456292742070425e-11,5.892123476080182e-09,0.998963179787075,4.7389867590200235e-07,4.2716834973618354e-10
8,8,Cinco Saus,3598,C01,B11,57,3602.75,,3590.75,0.45,0.66,0.18,2.03,0.003,0.42,0.1,36.88,0.01,148.19,0.79,111.0,30.0,40.0,6.94,20.08,26.04,25.6,6.0,9.34,25.0,6,2.0,6.59,10.0,509.88,6.75,16.13,5.0,6.66,Eagle Ford,Upper Eagle Ford,False,2,-4.873175142933838,-0.5120199237808795,,10.0,0.026902864890333892,2.2728018147077923e-10,2.77963591012413e-05,3.444504890639626e-05,0.9727746619873524,0.0002602314870257229
9,9,Cinco Saus,3598,C01,B11,59,3602.92,,3590.92,0.41,0.81,1.52,4.8,0.24,1.13,0.28,31.18,0.07,169.84,1.02,398.0,232.72,40.0,4.14,66.7,44.26,156.58,10.14,22.1,25.0,6,2.57,5.0,22.75,1849.11,5.0,5.0,5.0,9.24,Eagle Ford,Upper Eagle Ford,False,1,-0.7975891515523281,2.215932126663376,,4.0,0.00011804700067672527,3.3282768721984913e-09,9.229273359114833e-07,0.9998801261046972,8.942102081162668e-07,6.4288052746170886e-09
10,10,Cinco Saus,3598,C01,B11,63,3603.25,,3591.25,0.48,0.52,0.33,2.54,0.003,0.32,0.14,37.01,0.01,172.44,0.71,111.0,73.93,40.0,5.98,18.31,24.68,33.91,6.0,11.41,25.0,6,2.23,10.18,10.61,559.36,7.64,18.34,5.0,6.0,Eagle Ford,Upper Eagle Ford,False,2,-4.6043539317729065,-0.7940998208881879,,10.0,0.028044200015392384,1.242136334330665e-09,6.413876386200413e-05,8.902841685774788e-05,0.9713797392686271,0.00042289229312433217
