,Lease_Name,Top_Depth,Core,Box,Inch,Depth_calculated,XRF_adjusted_depth,Wireline_Depth,Na,Mg,Al,Si,P,S,K,Ca,Ti,Mn,Fe,Ba,V,Cr,Co,Ni,Cu,Zn,Ga,As,Pb,Se,Th,Rb,U,Sr,Y,Zr,Nb,Mo,Formation,Formation_2,Outliers,Chemofacies_PCA,PCA1,PCA2,Chemofacies_train
0,Public,3968,C04,B03,111,3977.25,,3967.25,0.46,0.71,3.28,8.9,0.5,1.75,0.38,22.64,0.16,145.32,1.47,996.17,1069.47,65.87,3.94,152.45,83.61,263.28,11.45,31.07,25.0,6,3.39,20.5,22.04,1099.04,14.73,42.28,6.33,81.05,Eagle Ford,Lower Eagle Ford,False,4,8.279315749671056,-0.15495881611088771,
1,Public,3968,C04,B03,113,3977.42,,3967.42,0.44,0.51,1.81,9.6,0.21,1.28,0.25,22.38,0.08,166.87,1.11,111.0,622.61,55.45,4.31,166.51,71.63,160.91,8.88,25.14,25.0,6,3.14,16.25,21.1,1350.89,10.08,17.0,7.74,84.73,Eagle Ford,Lower Eagle Ford,False,1,3.3982333493404147,-1.2333780162341805,
2,Public,3968,C04,B03,115,3977.58,,3967.58,0.36,0.83,2.07,6.86,0.34,1.94,0.22,26.7,0.09,173.14,1.39,111.0,618.33,45.87,2.28,338.77,120.33,265.3,10.33,32.84,25.0,6,3.24,8.09,35.87,1575.14,5.0,11.35,7.89,135.95,Eagle Ford,Lower Eagle Ford,False,4,5.8518672259438125,-5.6930723193984045,
3,Public,3968,C04,B03,117,3977.75,,3967.75,0.52,0.84,2.09,7.68,0.32,1.38,0.31,24.93,0.09,131.67,1.23,111.0,944.49,48.55,5.24,200.77,99.75,292.27,12.23,33.56,25.0,6,3.45,16.29,27.58,1302.73,9.17,23.5,8.24,102.81,Eagle Ford,Lower Eagle Ford,False,4,5.970550748225262,-2.277871427789962,
4,Public,3978,C04,B04,1,3978.08,,3968.08,0.41,0.51,0.38,4.58,0.07,0.64,0.1,33.12,0.03,245.16,0.73,111.0,139.1,40.0,6.05,53.09,35.81,77.71,6.0,16.83,25.0,6,2.01,5.0,10.76,1532.46,5.5,5.0,5.0,18.54,Eagle Ford,Lower Eagle Ford,False,2,-4.018972408911307,-1.2196633661155984,
5,Public,3978,C04,B04,3,3978.25,,3968.25,0.39,0.29,0.43,3.55,0.003,0.83,0.09,34.6,0.02,208.43,0.96,111.0,92.12,40.0,6.41,35.81,29.48,43.66,6.0,13.42,25.0,6,2.0,6.88,10.0,1244.91,6.08,5.0,5.0,7.89,Eagle Ford,Lower Eagle Ford,False,2,-4.127279588215675,-0.7461112459927015,
6,Public,3978,C04,B04,5,3978.42,,3968.42,0.42,0.33,0.42,3.3,0.003,0.51,0.08,34.77,0.02,214.91,0.78,111.0,93.56,40.0,6.09,24.56,26.0,35.52,6.77,12.63,25.0,6,2.25,10.8,10.0,1311.67,5.0,5.0,5.0,6.0,Eagle Ford,Lower Eagle Ford,False,2,-4.31911191061844,-0.4178765658960466,
7,Public,3978,C04,B04,7,3978.58,,3968.58,0.51,0.14,0.49,3.72,0.02,0.55,0.07,32.19,0.02,211.84,0.75,111.0,113.39,40.0,7.25,32.82,30.17,47.44,6.0,15.0,25.0,6,2.0,6.34,10.0,1187.29,5.0,5.0,5.0,6.0,Eagle Ford,Lower Eagle Ford,False,2,-4.394730019635424,-0.013973137798711541,
8,Public,3978,C04,B04,9,3978.75,,3968.75,0.49,0.85,1.09,7.98,0.41,0.98,0.14,27.29,0.04,184.83,0.89,111.0,384.75,43.51,6.47,92.29,48.77,138.15,6.81,16.58,25.0,6,2.45,5.0,40.75,1594.4,11.01,5.0,7.09,34.52,Eagle Ford,Lower Eagle Ford,False,1,0.09368367381651174,-2.492807017307682,
9,Public,3978,C04,B04,13,3979.08,,3969.08,0.5,0.27,1.37,7.42,0.2,0.75,0.15,27.58,0.05,175.83,0.76,111.0,328.99,54.6,5.68,80.95,44.67,99.52,8.77,20.14,25.0,6,3.03,11.87,27.89,1465.34,10.99,26.67,5.58,36.9,Eagle Ford,Lower Eagle Ford,False,1,0.1409428396348253,-0.6182135226364841,
10,Public,3978,C04,B04,15,3979.25,,3969.25,0.65,0.04,0.62,8.64,0.14,0.59,0.11,22.76,0.03,190.32,0.66,111.0,260.16,53.17,6.51,65.9,49.49,156.98,6.0,17.45,25.0,6,2.54,6.96,24.89,1613.37,11.83,5.0,5.89,29.86,Eagle Ford,Lower Eagle Ford,False,1,-1.2551493515943337,-0.48820029769099066,
11,Public,3978,C04,B04,17,3979.42,,3969.42,0.47,0.48,1.1,10.05,0.22,0.96,0.18,24.63,0.06,185.52,0.87,111.0,349.55,68.85,5.76,75.0,52.01,127.51,8.1,16.95,25.0,6,2.87,11.88,24.78,1315.18,12.93,28.19,7.31,27.3,Eagle Ford,Lower Eagle Ford,False,1,0.9599042217848496,0.10030603949795333,
12,Public,3978,C04,B04,19,3979.58,,3969.58,0.51,0.35,1.06,8.0,0.2,1.02,0.19,24.58,0.07,180.96,1.01,111.0,349.26,64.42,4.75,86.33,53.33,166.58,9.06,21.63,25.0,6,2.64,7.75,23.65,1343.33,8.99,23.08,5.0,27.04,Eagle Ford,Lower Eagle Ford,False,1,0.8156076527032441,-0.9892120585948454,
13,Public,3978,C04,B04,21,3979.75,,3969.75,0.42,0.39,1.34,9.69,0.36,1.28,0.19,24.6,0.07,175.03,1.03,111.0,490.38,61.03,4.02,166.44,90.58,263.77,12.37,30.31,25.0,6,2.84,9.9,23.69,1125.85,18.15,63.82,8.54,93.34,Eagle Ford,Lower Eagle Ford,False,4,4.572451528110262,-0.4520151556188958,
14,Public,3978,C04,B04,25,3980.08,,3970.08,0.42,0.4,1.73,8.15,0.25,1.22,0.25,26.64,0.08,171.08,1.02,329.49,522.72,58.82,3.44,132.73,85.84,254.25,10.63,27.16,25.0,6,3.11,17.67,16.46,1269.24,13.94,37.13,5.34,48.35,Eagle Ford,Lower Eagle Ford,False,4,3.592782785588514,-0.6441290815248495,
15,Public,3978,C04,B04,27,3980.25,,3970.25,0.45,0.69,1.5,8.89,0.29,1.24,0.19,27.06,0.06,196.0,1.01,111.0,321.71,56.46,5.89,93.48,57.94,133.27,6.94,22.16,25.0,6,2.94,14.93,19.37,1375.4,15.28,21.38,5.0,28.53,Eagle Ford,Lower Eagle Ford,False,1,0.9279871749992686,-0.10478095209897742,
16,Public,3978,C04,B04,31,3980.58,,3970.58,0.43,0.43,1.5,10.8,0.2,0.92,0.24,24.96,0.07,204.12,0.8,111.0,196.7,82.27,5.77,62.36,41.85,84.54,8.63,15.82,25.0,6,3.22,21.75,14.29,1104.11,11.0,30.77,6.83,7.82,Eagle Ford,Lower Eagle Ford,False,3,0.9767832284766692,1.9035335754307001,
17,Public,3978,C04,B04,33,3980.75,,3970.75,0.43,0.54,1.11,9.11,0.21,0.93,0.2,26.95,0.06,194.34,0.86,111.0,236.7,71.94,4.98,64.09,42.93,67.67,7.05,16.15,25.0,6,2.84,13.76,17.31,1376.91,9.09,13.09,7.28,9.25,Eagle Ford,Lower Eagle Ford,False,1,-0.044591142707381765,-0.0791695819569484,
18,Public,3978,C04,B04,35,3980.92,,3970.92,0.41,0.75,0.76,6.61,0.06,0.8,0.11,31.22,0.02,213.33,0.71,111.0,214.28,40.0,5.96,73.55,49.03,109.15,6.0,17.33,25.0,6,2.72,11.49,19.98,1547.37,8.53,5.0,5.32,20.21,Eagle Ford,Lower Eagle Ford,False,2,-2.278473279890762,-1.4425768864877966,
19,Public,3978,C04,B04,37,3981.08,,3971.08,0.48,0.5,1.47,10.1,0.19,1.15,0.23,25.2,0.06,184.81,0.99,111.0,280.54,74.4,3.88,100.35,58.27,102.33,7.75,20.46,25.0,6,2.88,15.31,17.16,1298.09,11.04,14.07,6.77,28.09,Eagle Ford,Lower Eagle Ford,False,1,1.4657579056740007,-0.011595469436041035,
20,Public,3978,C04,B04,39,3981.25,,3971.25,0.49,0.76,2.17,10.9,0.22,1.13,0.32,23.41,0.08,197.8,1.04,167.83,246.83,73.81,6.76,58.55,49.14,98.8,9.4,20.57,25.0,6,3.24,21.72,13.12,1091.98,12.46,38.02,6.15,10.89,Eagle Ford,Lower Eagle Ford,False,3,2.1485645371681215,2.3506426853870965,
21,Public,3978,C04,B04,41,3981.42,,3971.42,0.37,0.58,1.74,8.84,0.36,1.13,0.24,26.47,0.07,188.82,1.09,111.0,225.59,75.54,4.59,77.88,50.38,62.16,7.41,22.47,25.0,6,3.33,19.69,20.6,1322.12,15.27,28.11,7.84,14.09,Eagle Ford,Lower Eagle Ford,False,3,2.1127216523616634,0.47217553151911174,
22,Public,3978,C04,B04,43,3981.58,,3971.58,0.37,0.89,1.99,7.36,0.3,1.48,0.23,27.6,0.09,193.83,1.23,111.0,237.79,65.1,4.47,89.72,62.57,145.92,7.08,32.09,25.0,6,2.79,14.98,14.07,1301.18,13.64,26.91,5.0,21.57,Eagle Ford,Lower Eagle Ford,False,1,1.9086393882632153,-0.4579766489806408,
23,Public,3978,C04,B04,45,3981.75,,3971.75,0.39,0.5,0.9,4.94,0.18,0.85,0.13,32.79,0.03,213.3,0.86,111.0,97.99,40.0,4.76,48.39,40.46,66.63,6.0,22.93,25.0,6,2.31,5.0,21.71,1556.83,6.83,5.0,5.45,6.0,Eagle Ford,Lower Eagle Ford,False,2,-2.4830058152045535,-2.1858557223100714,
24,Public,3978,C04,B04,47,3981.92,,3971.92,0.45,0.71,0.6,5.81,0.07,0.67,0.12,31.69,0.03,217.62,0.8,111.0,92.21,40.0,5.8,54.3,48.28,81.96,6.18,15.97,25.0,6,2.69,9.71,19.97,1515.64,9.41,5.0,5.0,6.0,Eagle Ford,Lower Eagle Ford,False,2,-2.5982010484394866,-1.1028501506066277,
25,Public,3978,C04,B04,49,3982.08,,3972.08,0.46,0.34,0.37,5.07,0.003,0.38,0.09,33.72,0.02,272.97,0.66,111.0,50.16,40.0,5.54,19.53,23.98,30.29,6.0,13.3,25.0,6,2.06,7.15,10.35,1267.21,6.57,5.0,5.0,6.0,Eagle Ford,Lower Eagle Ford,False,2,-4.863654540576892,0.2835453024850783,
26,Public,3978,C04,B04,51,3982.25,,3972.25,0.46,0.78,0.52,5.13,0.05,0.56,0.09,32.42,0.02,248.31,0.81,111.0,30.0,40.0,5.62,19.1,26.63,33.8,6.0,14.15,25.0,6,2.06,5.0,15.55,1319.01,5.0,5.0,5.0,6.0,Eagle Ford,Lower Eagle Ford,False,2,-4.280337696803401,-0.6110710625979788,
27,Public,3978,C04,B04,53,3982.42,,3972.42,0.38,0.71,0.32,4.94,0.01,0.74,0.08,33.88,0.02,224.09,0.86,111.0,55.3,40.0,5.44,21.83,27.7,28.65,6.0,11.84,25.0,6,2.0,5.0,10.0,1344.04,5.0,5.0,5.0,6.0,Eagle Ford,Lower Eagle Ford,False,2,-4.449438434819831,-1.0029455212119658,
28,Public,3978,C04,B04,55,3982.58,,3972.58,0.42,0.69,0.6,5.25,0.06,0.93,0.11,30.68,0.03,238.25,0.85,111.0,55.61,40.0,5.06,24.07,28.13,34.0,6.0,14.98,25.0,6,2.09,6.66,11.95,1258.42,5.0,5.0,5.0,6.0,Eagle Ford,Lower Eagle Ford,False,2,-3.656505236640305,-0.6502941825419981,
29,Public,3978,C04,B04,57,3982.75,,3972.75,0.51,0.66,1.13,5.97,0.13,0.89,0.19,27.37,0.07,209.0,1.02,111.0,105.38,46.06,5.16,41.24,33.93,55.43,6.49,15.61,25.0,6,2.43,5.69,21.74,1348.7,8.25,5.0,5.0,6.0,Eagle Ford,Lower Eagle Ford,False,1,-1.6043654325833376,-0.6892357413208374,
30,Public,3978,C04,B04,59,3982.92,,3972.92,0.54,0.15,0.54,5.37,0.05,0.45,0.12,27.83,0.03,273.44,0.68,111.0,51.35,40.0,5.95,23.12,30.0,34.98,6.0,14.86,25.0,6,2.22,7.51,14.72,1085.98,7.14,9.57,5.0,6.0,Eagle Ford,Lower Eagle Ford,False,2,-3.9057531921647852,0.9502128877492246,
31,Public,3978,C04,B04,61,3983.08,,3973.08,0.43,0.33,0.46,4.76,0.02,0.4,0.11,31.58,0.02,284.35,0.67,111.0,54.52,40.0,6.29,16.03,24.99,30.25,6.07,11.27,25.0,6,2.0,10.86,10.0,997.02,7.92,5.24,5.0,6.0,Eagle Ford,Lower Eagle Ford,False,2,-4.719817057172474,1.2214708834758297,
32,Public,3978,C04,B04,63,3983.25,,3973.25,0.47,0.56,0.49,4.31,0.003,0.55,0.11,32.73,0.02,230.88,0.85,111.0,30.0,40.0,6.58,15.36,26.79,33.66,6.0,13.25,25.0,6,2.0,8.63,10.0,933.39,6.96,9.2,5.0,6.0,Eagle Ford,Lower Eagle Ford,False,2,-4.239420805542984,0.7773974775955004,
33,Public,3978,C04,B04,65,3983.42,,3973.42,0.47,0.32,0.37,4.28,0.003,0.53,0.1,31.78,0.02,215.5,0.83,111.0,33.11,40.0,5.35,19.75,24.59,28.21,6.0,15.78,25.0,6,2.0,7.58,10.0,930.38,7.55,8.13,5.0,6.0,Eagle Ford,Lower Eagle Ford,False,2,-4.041588660062052,0.4853177624147515,
34,Public,3978,C04,B04,67,3983.58,,3973.58,0.51,0.31,0.64,5.53,0.01,0.53,0.1,30.22,0.03,231.41,0.77,111.0,54.89,40.0,7.05,14.22,24.89,30.31,6.0,12.26,25.0,6,2.1,9.07,10.0,1050.29,10.82,10.83,5.0,6.0,Eagle Ford,Lower Eagle Ford,False,2,-3.9897818986472022,1.4431238877945736,
35,Public,3978,C04,B04,69,3983.75,,3973.75,0.53,0.37,1.26,6.73,0.09,0.95,0.17,26.76,0.06,203.56,0.99,111.0,81.28,50.8,5.48,44.28,39.09,81.08,7.24,19.77,25.0,6,2.68,11.18,16.33,1404.94,8.6,5.0,5.0,6.0,Eagle Ford,Lower Eagle Ford,False,1,-1.1844355095300922,-0.16671029456400255,
36,Public,3978,C04,B04,71,3983.92,,3973.92,0.61,0.04,1.87,8.54,0.2,1.63,0.27,18.45,0.11,177.24,1.64,111.0,129.82,68.33,5.43,74.52,52.54,103.93,9.17,33.77,25.0,6,3.52,23.33,19.47,1011.11,11.66,46.98,7.12,18.22,Eagle Ford,Lower Eagle Ford,False,3,4.071516986068713,1.796417490253785,
37,Public,3978,C04,B04,73,3984.08,,3974.08,0.5,0.64,1.7,10.47,0.31,1.45,0.21,21.82,0.08,194.95,1.32,111.0,174.28,67.63,6.06,86.36,49.89,109.85,6.39,26.41,25.0,6,3.06,15.18,22.56,1196.79,10.21,29.58,7.13,44.33,Eagle Ford,Lower Eagle Ford,False,3,2.2115507910177987,0.2493627521508594,
38,Public,3978,C04,B04,75,3984.25,,3974.25,0.51,0.38,1.8,7.61,0.21,1.05,0.18,25.89,0.1,185.44,0.99,394.33,300.29,53.87,4.54,69.82,46.67,81.81,7.84,24.26,25.0,6,2.81,6.94,30.87,1319.11,8.73,13.06,5.24,42.08,Eagle Ford,Lower Eagle Ford,False,1,1.030626329297231,-1.1873154564030939,
39,Public,3978,C04,B04,77,3984.42,,3974.42,0.65,0.04,0.72,6.63,0.11,0.73,0.11,23.95,0.04,186.39,0.8,111.0,193.93,45.41,4.41,85.48,59.14,130.42,6.75,28.13,25.0,6,2.79,12.27,18.71,1290.17,9.93,17.6,5.57,46.78,Eagle Ford,Lower Eagle Ford,False,1,-0.27839594160287434,-0.2253212331170113,
40,Public,3978,C04,B04,79,3984.58,,3974.58,0.58,0.18,1.92,12.36,0.22,1.16,0.28,20.86,0.1,180.82,0.97,294.25,373.95,100.24,5.78,88.03,60.63,158.34,8.1,23.71,25.0,6,3.16,23.05,12.5,829.86,16.79,57.33,6.82,25.31,Eagle Ford,Lower Eagle Ford,False,3,3.7691742004250495,3.632300459005543,
41,Public,3978,C04,B04,81,3984.75,,3974.75,0.65,0.04,2.2,11.96,0.22,1.08,0.34,17.07,0.1,162.73,0.97,111.0,527.51,91.79,8.36,97.85,66.36,179.45,13.07,24.52,25.0,6,3.84,33.8,11.72,711.37,21.88,92.08,8.08,42.99,Eagle Ford,Lower Eagle Ford,False,3,5.818004917264043,5.93507261765528,
42,Public,3978,C04,B04,83,3984.92,,3974.92,0.47,0.67,1.78,10.11,0.29,1.21,0.24,24.65,0.08,189.32,1.07,278.28,399.9,67.1,6.25,95.99,53.25,100.88,9.38,22.7,25.0,6,3.1,15.98,20.52,1175.81,13.22,33.55,6.8,40.61,Eagle Ford,Lower Eagle Ford,False,3,2.4427746825608216,0.8434075619762826,
43,Public,3978,C04,B04,85,3985.08,,3975.08,0.56,0.3,3.91,11.52,0.36,1.42,0.24,14.65,0.17,201.43,1.46,1038.61,431.66,74.47,3.92,134.12,58.99,124.69,8.37,29.04,25.0,6,3.24,19.57,18.5,996.72,9.72,47.85,6.96,62.85,Eagle Ford,Lower Eagle Ford,False,4,6.264363137055619,1.8773969405874715,
44,Public,3978,C04,B04,87,3985.25,,3975.25,0.46,0.44,1.75,8.1,0.21,1.2,0.21,25.87,0.09,174.4,1.19,269.49,492.71,53.5,5.84,76.28,50.85,81.19,7.98,20.37,25.0,6,2.62,8.9,20.82,1426.74,9.28,12.6,6.3,25.8,Eagle Ford,Lower Eagle Ford,False,1,1.0068574854722454,-0.923215058316092,
