,Unnamed: 0,Lease_Name,Top_Depth,Core,Box,Inch,Depth_calculated,XRF_adjusted_depth,Wireline_Depth,Na,Mg,Al,Si,P,S,K,Ca,Ti,Mn,Fe,Ba,V,Cr,Co,Ni,Cu,Zn,Ga,As,Pb,Se,Th,Rb,U,Sr,Y,Zr,Nb,Mo,Formation,Formation_2,Outliers,Chemofacies_PCA,PCA1,PCA2,Chemofacies_train,Chemofacies_NN,Prob1,Prob2,Prob3,Prob4,Prob10,Prob20
0,0,Public,3968,C04,B03,111,3977.25,,3967.25,0.46,0.71,3.28,8.9,0.5,1.75,0.38,22.64,0.16,145.32,1.47,996.17,1069.47,65.87,3.94,152.45,83.61,263.28,11.45,31.07,25.0,6,3.39,20.5,22.04,1099.04,14.73,42.28,6.33,81.05,Eagle Ford,Lower Eagle Ford,False,3,8.279315749671056,-0.1549588161108877,,3.0,3.616364980340348e-15,1.9145007920960106e-05,0.9999789108978197,5.116564431392516e-14,1.0366328143530589e-17,1.944094204864435e-06
1,1,Public,3968,C04,B03,113,3977.42,,3967.42,0.44,0.51,1.81,9.6,0.21,1.28,0.25,22.38,0.08,166.87,1.11,111.0,622.61,55.45,4.31,166.51,71.63,160.91,8.88,25.14,25.0,6,3.14,16.25,21.1,1350.89,10.08,17.0,7.74,84.73,Eagle Ford,Lower Eagle Ford,False,1,3.3982333493404147,-1.2333780162341803,,3.0,2.7079211592930506e-09,8.740352614678793e-06,0.9995742887742333,0.00041585790876638446,6.054677806000842e-10,1.10965099661492e-06
2,2,Public,3968,C04,B03,115,3977.58,,3967.58,0.36,0.83,2.07,6.86,0.34,1.94,0.22,26.7,0.09,173.14,1.39,111.0,618.33,45.87,2.28,338.77,120.33,265.3,10.33,32.84,25.0,6,3.24,8.09,35.87,1575.14,5.0,11.35,7.89,135.95,Eagle Ford,Lower Eagle Ford,False,3,5.8518672259438125,-5.6930723193984045,,3.0,1.8335089244259416e-20,1.7176917572207784e-12,0.9999999999947538,5.991765250200702e-13,1.8207456214500898e-20,2.929377452788113e-12
3,3,Public,3968,C04,B03,117,3977.75,,3967.75,0.52,0.84,2.09,7.68,0.32,1.38,0.31,24.93,0.09,131.67,1.23,111.0,944.49,48.55,5.24,200.77,99.75,292.27,12.23,33.56,25.0,6,3.45,16.29,27.58,1302.73,9.17,23.5,8.24,102.81,Eagle Ford,Lower Eagle Ford,False,3,5.970550748225262,-2.277871427789962,,3.0,1.0313181780437432e-13,2.91772915419571e-07,0.9999995501551647,5.207488615481124e-10,1.6659899220917105e-14,1.575510513425937e-07
4,4,Public,3978,C04,B04,1,3978.08,,3968.08,0.41,0.51,0.38,4.58,0.07,0.64,0.1,33.12,0.03,245.16,0.73,111.0,139.1,40.0,6.05,53.09,35.81,77.71,6.0,16.83,25.0,6,2.01,5.0,10.76,1532.46,5.5,5.0,5.0,18.54,Eagle Ford,Lower Eagle Ford,False,2,-4.018972408911307,-1.2196633661155984,,1.0,0.940035265130185,2.210395040901625e-10,2.3975405632577938e-08,0.059906397697286104,5.800719876179184e-05,3.057773218500608e-07
5,5,Public,3978,C04,B04,3,3978.25,,3968.25,0.39,0.29,0.43,3.55,0.003,0.83,0.09,34.6,0.02,208.43,0.96,111.0,92.12,40.0,6.41,35.81,29.48,43.66,6.0,13.42,25.0,6,2.0,6.88,10.0,1244.91,6.08,5.0,5.0,7.89,Eagle Ford,Lower Eagle Ford,False,2,-4.127279588215675,-0.7461112459927015,,1.0,0.9766810951922104,1.1121294227604614e-09,7.470031105234544e-08,0.02315877230242431,0.00015794185623116752,2.114836693901261e-06
6,6,Public,3978,C04,B04,5,3978.42,,3968.42,0.42,0.33,0.42,3.3,0.003,0.51,0.08,34.77,0.02,214.91,0.78,111.0,93.56,40.0,6.09,24.56,26.0,35.52,6.77,12.63,25.0,6,2.25,10.8,10.0,1311.67,5.0,5.0,5.0,6.0,Eagle Ford,Lower Eagle Ford,False,2,-4.31911191061844,-0.4178765658960466,,1.0,0.9321219333841472,6.32000689589047e-10,3.6897616297402864e-08,0.06781331207919658,6.406150105075755e-05,6.555059884828679e-07
7,7,Public,3978,C04,B04,7,3978.58,,3968.58,0.51,0.14,0.49,3.72,0.02,0.55,0.07,32.19,0.02,211.84,0.75,111.0,113.39,40.0,7.25,32.82,30.17,47.44,6.0,15.0,25.0,6,2.0,6.34,10.0,1187.29,5.0,5.0,5.0,6.0,Eagle Ford,Lower Eagle Ford,False,2,-4.394730019635424,-0.0139731377987115,,1.0,0.9101133471684131,2.417248679069463e-08,4.885008425251728e-07,0.08960805545087525,0.00027150076187709585,6.583945505239687e-06
8,8,Public,3978,C04,B04,9,3978.75,,3968.75,0.49,0.85,1.09,7.98,0.41,0.98,0.14,27.29,0.04,184.83,0.89,111.0,384.75,43.51,6.47,92.29,48.77,138.15,6.81,16.58,25.0,6,2.45,5.0,40.75,1594.4,11.01,5.0,7.09,34.52,Eagle Ford,Lower Eagle Ford,False,1,0.0936836738165117,-2.492807017307682,,4.0,5.828230500761288e-07,6.233680902084902e-10,1.510782991118194e-07,0.9999992577130273,7.709000714581909e-09,5.3254445055540503e-11
9,9,Public,3978,C04,B04,13,3979.08,,3969.08,0.5,0.27,1.37,7.42,0.2,0.75,0.15,27.58,0.05,175.83,0.76,111.0,328.99,54.6,5.68,80.95,44.67,99.52,8.77,20.14,25.0,6,3.03,11.87,27.89,1465.34,10.99,26.67,5.58,36.9,Eagle Ford,Lower Eagle Ford,False,1,0.1409428396348253,-0.6182135226364841,,4.0,2.2500987686441593e-06,2.505305292008839e-09,4.06018019414253e-08,0.999997691409641,1.5286171328869886e-08,9.831181410527266e-11
10,10,Public,3978,C04,B04,15,3979.25,,3969.25,0.65,0.04,0.62,8.64,0.14,0.59,0.11,22.76,0.03,190.32,0.66,111.0,260.16,53.17,6.51,65.9,49.49,156.98,6.0,17.45,25.0,6,2.54,6.96,24.89,1613.37,11.83,5.0,5.89,29.86,Eagle Ford,Lower Eagle Ford,False,1,-1.2551493515943335,-0.4882002976909906,,4.0,1.6937688463739676e-06,1.778670548619338e-09,6.402692643506725e-08,0.9999982238396891,1.6495451646029492e-08,9.041601543579142e-11
11,11,Public,3978,C04,B04,17,3979.42,,3969.42,0.47,0.48,1.1,10.05,0.22,0.96,0.18,24.63,0.06,185.52,0.87,111.0,349.55,68.85,5.76,75.0,52.01,127.51,8.1,16.95,25.0,6,2.87,11.88,24.78,1315.18,12.93,28.19,7.31,27.3,Eagle Ford,Lower Eagle Ford,False,1,0.9599042217848496,0.1003060394979533,,4.0,1.6243682506350423e-06,8.98658048106073e-08,1.5568157036068912e-06,0.9999967068485658,2.0719689213243188e-08,1.3819859806965905e-09
12,12,Public,3978,C04,B04,19,3979.58,,3969.58,0.51,0.35,1.06,8.0,0.2,1.02,0.19,24.58,0.07,180.96,1.01,111.0,349.26,64.42,4.75,86.33,53.33,166.58,9.06,21.63,25.0,6,2.64,7.75,23.65,1343.33,8.99,23.08,5.0,27.04,Eagle Ford,Lower Eagle Ford,False,1,0.8156076527032441,-0.9892120585948454,,4.0,4.1652456846012505e-07,2.9195062582944453e-08,1.6282740454856325e-05,0.9999832512392569,1.8998915657178032e-08,1.301741620843659e-09
13,13,Public,3978,C04,B04,21,3979.75,,3969.75,0.42,0.39,1.34,9.69,0.36,1.28,0.19,24.6,0.07,175.03,1.03,111.0,490.38,61.03,4.02,166.44,90.58,263.77,12.37,30.31,25.0,6,2.84,9.9,23.69,1125.85,18.15,63.82,8.54,93.34,Eagle Ford,Lower Eagle Ford,False,3,4.572451528110262,-0.4520151556188958,,3.0,1.4515346104741298e-13,3.0668777298828764e-08,0.999999917806987,1.3805621998806272e-08,8.346530854172701e-14,3.771838498572126e-08
14,14,Public,3978,C04,B04,25,3980.08,,3970.08,0.42,0.4,1.73,8.15,0.25,1.22,0.25,26.64,0.08,171.08,1.02,329.49,522.72,58.82,3.44,132.73,85.84,254.25,10.63,27.16,25.0,6,3.11,17.67,16.46,1269.24,13.94,37.13,5.34,48.35,Eagle Ford,Lower Eagle Ford,False,3,3.592782785588514,-0.6441290815248495,,3.0,3.362234891733128e-10,9.07951911428199e-06,0.999834854575888,0.00015565572052667049,1.0439730912124286e-10,4.097438504665272e-07
